accession,gene,effect_size,se,n_keloid,n_non_keloid,keloid_mean,non_keloid_mean
GSE158395,AASS,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AASS,-0.07301898084494281,0.13488489850410534,110,110,-0.0366947630689074,0.03669476306890727
GSE181297,AASS,-0.8899572306372187,0.7999415397849902,4,3,-0.42190686049013537,0.5625424806535131
GSE188952,AASS,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AASS,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AASS,-0.3692838535471782,0.4633571086933432,10,9,-0.1846274336400166,0.20514159293335182
Sun_Burns,AASS,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,AATK,-0.1425256594611568,0.4600496479450846,9,10,-0.08055699023255884,0.07250129120930357
GSE158395,AATK,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,AATK,0.14545372275323,0.13501815353922844,110,110,0.07294963341037124,-0.07294963341037135
GSE181297,AATK,-0.9078420504136858,0.8013757748471416,4,3,-0.42798682964523016,0.5706491061936405
GSE188952,AATK,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,AATK,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,AATK,-0.10970660794081681,0.45981282696698567,10,9,-0.05587682147705374,0.06208535719672573
Sun_Burns,AATK,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABAT,0.5295193007412189,0.46742893949324676,9,10,0.28813444972129115,-0.25932100474916336
GSE158395,ABAT,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABAT,-0.026003387380102574,0.13484567084562768,110,110,-0.013075396673704349,0.013075396673703905
GSE181297,ABAT,-1.2922264319208585,0.838217318310608,4,3,-0.5358779360840796,0.7145039147787732
GSE188952,ABAT,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABAT,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABAT,-0.04302422877424267,0.4595212985867335,10,9,-0.021947543129050284,0.024386159032277824
Sun_Burns,ABAT,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCA1,1.2236278371448057,0.5005125611247223,9,10,0.5746975116339323,-0.5172277604705433
GSE158395,ABCA1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCA1,0.23485459165788503,0.13530400685478935,110,110,0.11728426373523122,-0.11728426373523033
GSE181297,ABCA1,-0.6385207098440373,0.78259528692159,4,3,-0.3253521067936732,0.43380280905823043
GSE188952,ABCA1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCA1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCA1,-2.29100975223956,0.5909614803343115,10,9,-0.7246040863517317,0.8051156515019237
Sun_Burns,ABCA1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCA12,-0.38494078576614715,0.46369232172934405,9,10,-0.21347001638624474,0.1921230147476239
GSE158395,ABCA12,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCA12,-0.1559937120740212,0.13504489184751114,110,110,-0.07820438441226096,0.0782043844122613
GSE181297,ABCA12,-0.13653104179461328,0.7646337775151948,4,3,-0.07577581149145142,0.10103441532193506
GSE188952,ABCA12,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCA12,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCA12,0.374872530672447,0.46347519199138054,10,9,0.1873074027711656,-0.20811933641240807
Sun_Burns,ABCA12,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCA2,0.5926518390367137,0.46941896964942964,9,10,0.3193215879274472,-0.2873894291346889
GSE158395,ABCA2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCA2,0.06912370791687647,0.13488023380186534,110,110,0.034739683038114554,-0.034739683038114214
GSE181297,ABCA2,-1.4862475865482905,0.8608798885520428,4,3,-0.5761897701188811,0.7682530268251749
GSE188952,ABCA2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCA2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCA2,0.3545096535328119,0.46305334797436437,10,9,0.1775193881028771,-0.19724376455875273
Sun_Burns,ABCA2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCA3,-2.158347454106299,0.5776696824053055,9,10,-0.786206424142595,0.7075857817283338
GSE158395,ABCA3,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCA3,-0.058106794031892624,0.13486842409205438,110,110,-0.029208078198659324,0.029208078198659143
GSE181297,ABCA3,-0.8461405009721085,0.7965380635713524,4,3,-0.406577250045085,0.5421030000601138
GSE188952,ABCA3,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCA3,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCA3,0.6462174875462047,0.4712754045485939,10,9,0.3105357560782632,-0.34503972897584734
Sun_Burns,ABCA3,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCA5,0.7542230360372548,0.475479663915998,9,10,0.3947045053882111,-0.35523405484938775
GSE158395,ABCA5,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCA5,-0.2803884020590199,0.1355009028484615,110,110,-0.13961373636582985,0.13961373636582924
GSE181297,ABCA5,-1.1762974138736972,0.8259342014847972,4,3,-0.5076199870287709,0.6768266493716953
GSE188952,ABCA5,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCA5,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCA5,-1.4061008279066447,0.5129722922768208,10,9,-0.5665557302965342,0.629506366996149
Sun_Burns,ABCA5,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCA6,0.3239450927718956,0.4624637295977984,9,10,0.18079021405271126,-0.16271119264743922
GSE158395,ABCA6,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCA6,-0.29523504905931475,0.13557255466248133,110,110,-0.14685011906050485,0.14685011906050502
GSE181297,ABCA6,-0.7400883533863647,0.7889594158258988,4,3,-0.36687405428675235,0.4891654057156698
GSE188952,ABCA6,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCA6,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCA6,-0.7992913466656859,0.4774132293460817,10,9,-0.37307825565148783,0.41453139516832027
Sun_Burns,ABCA6,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCA7,0.05510793789615044,0.45955525144716614,9,10,0.03122956213778658,-0.028106605924005084
GSE158395,ABCA7,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCA7,0.227954815688801,0.13527718511865414,110,110,0.11388414139902253,-0.11388414139902288
GSE181297,ABCA7,-1.021511706438591,0.811090660471519,4,3,-0.4642946806671669,0.6190595742228889
GSE188952,ABCA7,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCA7,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCA7,0.1817221697481899,0.4604130059322657,10,9,0.0922623757989709,-0.10251375088775021
Sun_Burns,ABCA7,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCA8,-0.3125986305300773,0.4622581907284779,9,10,-0.1746445914687011,0.15718013232182967
GSE158395,ABCA8,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCA8,-0.4195898713056319,0.1363156068909596,110,110,-0.206436358374984,0.206436358374984
GSE181297,ABCA8,-1.584805737884642,0.8733464332054994,4,3,-0.5937497982366274,0.7916663976488366
GSE188952,ABCA8,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCA8,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCA8,-0.09687181301536496,0.4597369491115518,10,9,-0.0493595937870955,0.054843993096773
Sun_Burns,ABCA8,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCB1,-0.35188781914125705,0.46300071784308944,9,10,-0.19583835617514944,0.1762545205576293
GSE158395,ABCB1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCB1,0.07311758453807629,0.1348850199005256,110,110,0.036744247942359344,-0.036744247942359316
GSE181297,ABCB1,0.03329777632995651,0.7638144599206943,4,3,0.01855864718888517,-0.024744862918513483
GSE188952,ABCB1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCB1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCB1,-0.14880761839505582,0.46010198896590854,10,9,-0.07567584369666802,0.08408427077407679
Sun_Burns,ABCB1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCB4,-1.7386579473307835,0.5391307252869079,9,10,-0.7108271858588064,0.6397444672729227
GSE158395,ABCB4,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCB4,-0.02755704237353878,0.1348463721036274,110,110,-0.013856481353369114,0.013856481353369072
GSE181297,ABCB4,0.5674978460102759,0.7786765545229827,4,3,0.29429829905475585,-0.3923977320730083
GSE188952,ABCB4,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCB4,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCB4,-0.3458585032879575,0.4628811466899697,10,9,-0.1733418614252133,0.19260206825023232
Sun_Burns,ABCB4,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCB6,-0.39089808339834975,0.46382345591679386,9,10,-0.21662744615996513,0.1949647015439677
GSE158395,ABCB6,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCB6,-0.00019185981696533854,0.13483997280286622,110,110,-9.64819935751861e-05,9.64819935752524e-05
GSE181297,ABCB6,-0.9429556783520271,0.8042668390707064,4,3,-0.43962924162231126,0.5861723221630811
GSE188952,ABCB6,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCB6,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCB6,0.491603220735005,0.4663378024807896,10,9,0.24207417209699358,-0.268971302329992
Sun_Burns,ABCB6,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCB8,-0.021660159897434555,0.45948172705059215,9,10,-0.012279581606271813,0.011051623445639924
GSE158395,ABCB8,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCB8,0.3358232422444795,0.1357870763869234,110,110,0.16650956291949542,-0.16650956291949603
GSE181297,ABCB8,-0.7771370890123501,0.7914998746406027,4,3,-0.38116642805220224,0.5082219040696025
GSE188952,ABCB8,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCB8,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCB8,0.45552611524026254,0.46537269342595633,10,9,0.22540701442917296,-0.25045223825463575
Sun_Burns,ABCB8,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCB9,0.1064591619905204,0.4597927386446713,9,10,0.06025399178945875,-0.05422859261051394
GSE158395,ABCB9,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCB9,0.16060378543718926,0.13505717287585986,110,110,0.08050072312567619,-0.08050072312567663
GSE181297,ABCB9,-0.9829633053069717,0.8076811396233874,4,3,-0.45242616170501176,0.6032348822733485
GSE188952,ABCB9,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCB9,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCB9,-0.008310643777026918,0.45947026961325715,10,9,-0.004240583474619886,0.004711759416243201
Sun_Burns,ABCB9,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCC1,-2.142130807274269,0.5760790017481551,9,10,-0.7837518322658203,0.7053766490392369
GSE158395,ABCC1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCC1,0.5623017278997234,0.1374787854146547,110,110,0.27205378871857533,-0.27205378871857483
GSE181297,ABCC1,-0.20217996777529954,0.7656716662063208,4,3,-0.11161843187808046,0.1488245758374418
GSE188952,ABCC1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCC1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCC1,0.2222241924773978,0.46088033079567164,10,9,0.11254770634252556,-0.12505300704724984
Sun_Burns,ABCC1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCC10,0.655673446548501,0.4716189890247326,9,10,0.3495064519063647,-0.3145558067157279
GSE158395,ABCC10,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCC10,0.10402318236640952,0.13493113413945004,110,110,0.05223917114912522,-0.052239171149125234
GSE181297,ABCC10,-0.5742504304220992,0.7790300848539912,4,3,-0.2973210250202676,0.39642803336035604
GSE188952,ABCC10,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCC10,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCC10,-0.33487292137984864,0.4626685210958756,10,9,-0.16802115605775308,0.1866901733975057
Sun_Burns,ABCC10,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCC2,-1.366855331249484,0.5101732347367633,9,10,-0.6183767201993969,0.5565390481794525
GSE158395,ABCC2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCC2,-0.07165467494036583,0.13488323563566856,110,110,-0.03601005003710612,0.036010050037106445
GSE181297,ABCC2,-1.403474891686244,0.8508990387592736,4,3,-0.5599831207458071,0.7466441609944107
GSE188952,ABCC2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCC2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCC2,0.32421943066925435,0.4624687887461823,10,9,0.1628447032271454,-0.18093855914127197
Sun_Burns,ABCC2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCC3,2.2005048200763233,0.5818401771286409,9,10,0.7924376191404128,-0.7131938572263704
GSE158395,ABCC3,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCC3,-0.11802419747255125,0.13495731405277273,110,110,-0.05924698243658135,0.05924698243658132
GSE181297,ABCC3,-0.6257114439059677,0.7818559182986867,4,3,-0.3198730076208812,0.4264973434945094
GSE188952,ABCC3,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCC3,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCC3,-1.386443510964344,0.511562308581255,10,9,-0.5615778928760152,0.6239754365289054
Sun_Burns,ABCC3,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCC4,-0.6379920552182611,0.4709803908294809,9,10,-0.3411361861305774,0.30702256751751966
GSE158395,ABCC4,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCC4,0.4387935201043841,0.13645295354148454,110,110,0.2154530942958528,-0.2154530942958531
GSE181297,ABCC4,2.0901020294829915,0.9462404240057292,4,3,0.6605228615398118,-0.8806971487197486
GSE188952,ABCC4,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCC4,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCC4,-1.0476128842478838,0.4898902932361058,10,9,-0.4626284360529082,0.5140315956143434
Sun_Burns,ABCC4,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCC9,0.6197057548749355,0.4703374333180308,9,10,0.33239827166924196,-0.2991584445023181
GSE158395,ABCC9,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCC9,0.02447865218293296,0.13484502219225167,110,110,0.012308827748326394,-0.012308827748326772
GSE181297,ABCC9,0.8532184206581971,0.7970771758662635,4,3,0.4090955654651438,-0.5454607539535236
GSE188952,ABCC9,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCC9,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCC9,0.028480459175650126,0.4594915198454952,10,9,0.014530773579052868,-0.01614530397672673
Sun_Burns,ABCC9,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCD1,0.7656469635516046,0.4759599025298912,9,10,0.3997809724399459,-0.3598028751959458
GSE158395,ABCD1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCD1,0.15995283499915544,0.13505541715620653,110,110,0.08017655328126132,-0.08017655328126025
GSE181297,ABCD1,-1.1792382695685453,0.826233690700574,4,3,-0.5083792474307873,0.6778389965743831
GSE188952,ABCD1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCD1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCD1,0.111379467289948,0.4598234102679217,10,9,0.056725666742675096,-0.06302851860297148
Sun_Burns,ABCD1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCD4,0.5876231946980658,0.4692525759447392,9,10,0.31687159328476766,-0.28518443395628024
GSE158395,ABCD4,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCD4,0.21356380890484278,0.13522380018857916,110,110,0.1067796161334252,-0.10677961613342239
GSE181297,ABCD4,-1.5226938484637325,0.8654174559472919,4,3,-0.5828941702396526,0.7771922269862034
GSE188952,ABCD4,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCD4,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCD4,-1.6291682364327773,0.5300548969787471,10,9,-0.6178176304616585,0.686464033846288
Sun_Burns,ABCD4,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCF3,0.5781694110757856,0.4689434398092764,9,10,0.312249395900482,-0.28102445631044265
GSE158395,ABCF3,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCF3,0.33841456400604325,0.13580169714707513,110,110,0.1677582160406436,-0.16775821604064395
GSE181297,ABCF3,-0.8123387430499953,0.7940205511970938,4,3,-0.39432514760068627,0.5257668634675817
GSE188952,ABCF3,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCF3,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCF3,0.5746813324398306,0.4688305960488299,10,9,0.27948479319567165,-0.3105386591063013
Sun_Burns,ABCF3,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCG1,-0.3017022191624067,0.46206762011607144,9,10,-0.1687244432872789,0.15185199895855606
GSE158395,ABCG1,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCG1,0.21837316020774702,0.13524125612047327,110,110,0.10915577160017684,-0.1091557716001764
GSE181297,ABCG1,-0.6418349655866658,0.7827889147016174,4,3,-0.32676097286920075,0.4356812971589341
GSE188952,ABCG1,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCG1,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCG1,0.23128768542112982,0.4609976656993557,10,9,0.11706564798303036,-0.130072942203371
Sun_Burns,ABCG1,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABCG2,-1.3908175448199287,0.5118746676678095,9,10,-0.6252136966370936,0.5626923269733867
GSE158395,ABCG2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABCG2,0.031964853147631325,0.13484858302957256,110,110,0.016072321142953795,-0.016072321142953823
GSE181297,ABCG2,0.3766522376298278,0.7703678886822388,4,3,0.20313391151860008,-0.2708452153581325
GSE188952,ABCG2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABCG2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABCG2,0.023347273087540917,0.4594839014814352,10,9,0.011912298008839427,-0.013235886676486437
Sun_Burns,ABCG2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABHD10,0.5907668933297245,0.46935643913758396,9,10,0.31840393324452515,-0.2865635399200723
GSE158395,ABHD10,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABHD10,0.32146811174374823,0.13570809035697382,110,110,0.15957796602605284,-0.15957796602605318
GSE181297,ABHD10,-0.32732815790726055,0.7687564350311681,4,3,-0.1779359947003848,0.23724799293384155
GSE188952,ABHD10,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABHD10,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABHD10,0.41910148633971506,0.4644710709385456,10,9,0.2083383080033145,-0.2314870088925733
Sun_Burns,ABHD10,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABHD14A,0.3207104782334731,0.4624043978879072,9,10,0.17904025294702394,-0.16113622765232719
GSE158395,ABHD14A,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABHD14A,-0.08636928360458242,0.1349028240585723,110,110,-0.04339207771723361,0.043392077717234454
GSE181297,ABHD14A,-0.9294732922862547,0.8031450352805044,4,3,-0.4352048284832002,0.5802731046442653
GSE188952,ABHD14A,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABHD14A,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABHD14A,-1.3844939840885302,0.5114233444180836,10,9,-0.5610799259993595,0.6234221399992899
Sun_Burns,ABHD14A,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABHD2,-1.4224143159016926,0.5141545105752259,9,10,-0.6340306201630411,0.5706275581467344
GSE158395,ABHD2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABHD2,0.6873062758129368,0.13876394210682733,110,110,0.3265895928856108,-0.3265895928856129
GSE181297,ABHD2,0.8184661424973616,0.7944698813441208,4,3,0.396573910589101,-0.5287652141188033
GSE188952,ABHD2,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABHD2,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABHD2,-1.379159342008941,0.5110438932861565,10,9,-0.5597133241580095,0.6219036935088992
Sun_Burns,ABHD2,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABHD4,0.5562653260380607,0.46824569953836176,9,10,0.3014593613469116,-0.2713134252122214
GSE158395,ABHD4,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABHD4,-0.02829425827031396,0.13484671908446025,110,110,-0.01422710052705967,0.014227100527060294
GSE181297,ABHD4,-0.6349457586916104,0.7823874991308486,4,3,-0.3238283661168039,0.4317711548224034
GSE188952,ABHD4,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABHD4,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABHD4,0.7039533633087146,0.473446839119237,10,9,0.33476497002812655,-0.37196107780902987
Sun_Burns,ABHD4,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABHD5,0.9537192278408531,0.48481691030780877,9,10,0.47835333177612743,-0.4305179985985119
GSE158395,ABHD5,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABHD5,-0.15817554646642368,0.13505065971616953,110,110,-0.07929134321610684,0.07929134321611098
GSE181297,ABHD5,-0.9988750223667602,0.8090743377895712,4,3,-0.4573794493026751,0.6098392657369014
GSE188952,ABHD5,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABHD5,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABHD5,-0.3555959469185219,0.4630752666935957,10,9,-0.17804315182114222,0.19782572424571152
Sun_Burns,ABHD5,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABHD6,-0.3621953337661726,0.46320984451247227,9,10,-0.20135693355421788,0.1812212401988016
GSE158395,ABHD6,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABHD6,-0.143979875929369,0.13501456322688637,110,110,-0.07221434478265429,0.07221434478265387
GSE181297,ABHD6,-0.4725264269789799,0.7741330584623674,4,3,-0.25027241850669596,0.33369655800892756
GSE188952,ABHD6,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABHD6,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABHD6,-0.18621810217629256,0.46046027898295655,10,9,-0.09452137813762428,0.10502375348624667
Sun_Burns,ABHD6,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABHD8,0.18254267841578453,0.46042154745365316,9,10,0.10297196700112694,-0.09267477030100842
GSE158395,ABHD8,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABHD8,-0.38520424358870015,0.13608471884420467,110,110,-0.19015967196495684,0.19015967196495723
GSE181297,ABHD8,-1.605554490064464,0.8760492438553256,4,3,-0.5972228609956379,0.7962971479941844
GSE188952,ABHD8,0.0,0.6123724356957945,4,8,0.0,0.0
GSE44270,ABHD8,0.0,0.3563483225498992,18,14,0.0,0.0
GSE7890,ABHD8,0.18376806449691852,0.4604343751099883,10,9,0.09329055520536471,-0.10365617245040638
Sun_Burns,ABHD8,0.0,0.4287464628562721,17,8,0.0,0.0
GSE145725,ABI2,-0.8098320547893021,0.47788046785523586,9,10,-0.4190908708327312,0.37718178374945605
GSE158395,ABI2,0.0,0.5563486402641868,7,6,0.0,0.0
GSE163973,ABI2,0.6463278746531992,0.13831567749136328,110,110,0.30903911605366324,-0.30903911605366174
