sample_id,accession,encoder_task,encoder_prompt,encoder_response
GSE163973_KF1_Fibroblast_cluster_14,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_14
GSE163973_KF1_Glandular_cluster_15,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Glandular_cluster_15
GSE163973_KF1_Immune_cell_cluster_10,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Immune_cell_cluster_10
GSE163973_KF1_Keratinocyte_cluster_4,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_4
GSE163973_KF1_Keratinocyte_cluster_8,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_8
GSE163973_KF1_Keratinocyte_cluster_12,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_12
GSE163973_KF1_Keratinocyte_cluster_16,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_16
GSE163973_KF1_Lymphatic_endothelial_cluster_11,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Lymphatic_endothelial_cluster_11
GSE163973_KF1_Neural_cell_cluster_18,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Neural_cell_cluster_18
GSE163973_KF1_muscle_fiber_cluster_2,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",muscle_fiber_cluster_2
GSE163973_KF1_muscle_fiber_cluster_9,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",muscle_fiber_cluster_9
GSE163973_KF1_fib_cluster_0,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_0
GSE163973_KF1_fib_cluster_1,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_1
GSE163973_KF1_fib_cluster_2,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_2
GSE163973_KF1_fib_cluster_3,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_3
GSE163973_KF1_fib_cluster_4,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_4
GSE163973_KF1_fib_cluster_5,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_5
GSE163973_KF1_fib_cluster_6,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_6
GSE163973_KF1_fib_cluster_8,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_8
GSE163973_KF1_fib_cluster_9,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_9
GSE163973_KF1_fib_cluster_10,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_10
GSE163973_KF1_fib_cluster_12,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_12
GSE163973_KF1_all_cells,GSE163973,keloid_vs_normal,"Given this single-cell pseudobulk expression profile, predict whether the originating tissue is keloid or normal scar. Answer:",keloid
GSE163973_KF2_Fibroblast,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Fibroblast
GSE163973_KF2_Endothelial,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Endothelial
GSE163973_KF2_muscle_fiber,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",muscle_fiber
GSE163973_KF2_Keratinocyte,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Keratinocyte
GSE163973_KF2_Immune_cell,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Immune_cell
GSE163973_KF2_Neural_cell,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Neural_cell
GSE163973_KF2_Glandular,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Glandular
GSE163973_KF2_Lymphatic_endothelial,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Lymphatic_endothelial
GSE163973_KF2_Endothelial_cluster_0,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_0
GSE163973_KF2_Endothelial_cluster_5,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_5
GSE163973_KF2_Endothelial_cluster_6,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_6
GSE163973_KF2_Fibroblast_cluster_1,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_1
GSE163973_KF2_Fibroblast_cluster_3,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_3
GSE163973_KF2_Fibroblast_cluster_7,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_7
GSE163973_KF2_Fibroblast_cluster_13,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_13
GSE163973_KF2_Fibroblast_cluster_14,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_14
GSE163973_KF2_Glandular_cluster_15,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Glandular_cluster_15
GSE163973_KF2_Immune_cell_cluster_10,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Immune_cell_cluster_10
GSE163973_KF2_Keratinocyte_cluster_4,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_4
GSE163973_KF2_Keratinocyte_cluster_8,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_8
GSE163973_KF2_Keratinocyte_cluster_12,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_12
GSE163973_KF2_Keratinocyte_cluster_16,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_16
GSE163973_KF2_Lymphatic_endothelial_cluster_11,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Lymphatic_endothelial_cluster_11
GSE163973_KF2_Neural_cell_cluster_18,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Neural_cell_cluster_18
GSE163973_KF2_muscle_fiber_cluster_2,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",muscle_fiber_cluster_2
GSE163973_KF2_muscle_fiber_cluster_9,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",muscle_fiber_cluster_9
GSE163973_KF2_fib_cluster_0,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_0
GSE163973_KF2_fib_cluster_1,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_1
GSE163973_KF2_fib_cluster_2,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_2
GSE163973_KF2_fib_cluster_3,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_3
GSE163973_KF2_fib_cluster_4,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_4
GSE163973_KF2_fib_cluster_5,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_5
GSE163973_KF2_fib_cluster_6,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_6
GSE163973_KF2_fib_cluster_8,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_8
GSE163973_KF2_fib_cluster_9,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_9
GSE163973_KF2_fib_cluster_10,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_10
GSE163973_KF2_all_cells,GSE163973,keloid_vs_normal,"Given this single-cell pseudobulk expression profile, predict whether the originating tissue is keloid or normal scar. Answer:",keloid
GSE163973_KF3_muscle_fiber,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",muscle_fiber
GSE163973_KF3_Endothelial,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Endothelial
GSE163973_KF3_Lymphatic_endothelial,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Lymphatic_endothelial
GSE163973_KF3_Fibroblast,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Fibroblast
GSE163973_KF3_Glandular,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Glandular
GSE163973_KF3_Keratinocyte,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Keratinocyte
GSE163973_KF3_Unknown,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Unknown
GSE163973_KF3_Neural_cell,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Neural_cell
GSE163973_KF3_Immune_cell,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Immune_cell
GSE163973_KF3_Endothelial_cluster_0,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_0
GSE163973_KF3_Endothelial_cluster_5,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_5
GSE163973_KF3_Endothelial_cluster_6,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_6
GSE163973_KF3_Fibroblast_cluster_1,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_1
GSE163973_KF3_Fibroblast_cluster_3,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_3
GSE163973_KF3_Fibroblast_cluster_7,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_7
GSE163973_KF3_Fibroblast_cluster_13,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_13
GSE163973_KF3_Fibroblast_cluster_14,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_14
GSE163973_KF3_Glandular_cluster_15,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Glandular_cluster_15
GSE163973_KF3_Immune_cell_cluster_10,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Immune_cell_cluster_10
GSE163973_KF3_Keratinocyte_cluster_4,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_4
GSE163973_KF3_Keratinocyte_cluster_16,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_16
GSE163973_KF3_Lymphatic_endothelial_cluster_11,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Lymphatic_endothelial_cluster_11
GSE163973_KF3_Neural_cell_cluster_18,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Neural_cell_cluster_18
GSE163973_KF3_muscle_fiber_cluster_2,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",muscle_fiber_cluster_2
GSE163973_KF3_muscle_fiber_cluster_9,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",muscle_fiber_cluster_9
GSE163973_KF3_fib_cluster_0,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_0
GSE163973_KF3_fib_cluster_1,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_1
GSE163973_KF3_fib_cluster_2,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_2
GSE163973_KF3_fib_cluster_3,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_3
GSE163973_KF3_fib_cluster_4,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_4
GSE163973_KF3_fib_cluster_5,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_5
GSE163973_KF3_fib_cluster_6,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_6
GSE163973_KF3_fib_cluster_10,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_10
GSE163973_KF3_all_cells,GSE163973,keloid_vs_normal,"Given this single-cell pseudobulk expression profile, predict whether the originating tissue is keloid or normal scar. Answer:",keloid
GSE163973_NF1_Lymphatic_endothelial,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Lymphatic_endothelial
GSE163973_NF1_Endothelial,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Endothelial
GSE163973_NF1_Fibroblast,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Fibroblast
GSE163973_NF1_Glandular,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Glandular
GSE163973_NF1_muscle_fiber,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",muscle_fiber
GSE163973_NF1_Immune_cell,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Immune_cell
GSE163973_NF1_Keratinocyte,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Keratinocyte
GSE163973_NF1_Endothelial_cluster_0,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_0
GSE163973_NF1_Endothelial_cluster_5,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_5
GSE163973_NF1_Endothelial_cluster_6,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_6
GSE163973_NF1_Fibroblast_cluster_1,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_1
GSE163973_NF1_Fibroblast_cluster_3,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_3
GSE163973_NF1_Fibroblast_cluster_7,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_7
GSE163973_NF1_Fibroblast_cluster_13,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_13
GSE163973_NF1_Fibroblast_cluster_14,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_14
GSE163973_NF1_Glandular_cluster_15,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Glandular_cluster_15
GSE163973_NF1_Immune_cell_cluster_10,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Immune_cell_cluster_10
GSE163973_NF1_Keratinocyte_cluster_4,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_4
GSE163973_NF1_Keratinocyte_cluster_8,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_8
GSE163973_NF1_Lymphatic_endothelial_cluster_11,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Lymphatic_endothelial_cluster_11
GSE163973_NF1_muscle_fiber_cluster_2,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",muscle_fiber_cluster_2
GSE163973_NF1_muscle_fiber_cluster_9,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",muscle_fiber_cluster_9
GSE163973_NF1_fib_cluster_0,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_0
GSE163973_NF1_fib_cluster_1,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_1
GSE163973_NF1_fib_cluster_2,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_2
GSE163973_NF1_fib_cluster_4,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_4
GSE163973_NF1_fib_cluster_5,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_5
GSE163973_NF1_fib_cluster_6,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_6
GSE163973_NF1_fib_cluster_8,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_8
GSE163973_NF1_fib_cluster_9,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_9
GSE163973_NF1_fib_cluster_10,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_10
GSE163973_NF1_fib_cluster_11,GSE163973,fibroblast_subcluster,"Given this keloid fibroblast pseudobulk expression profile, predict the fibroblast subcluster. Answer:",fib_cluster_11
GSE163973_NF1_all_cells,GSE163973,keloid_vs_normal,"Given this single-cell pseudobulk expression profile, predict whether the originating tissue is keloid or normal scar. Answer:",normal_scar
GSE163973_NF2_Fibroblast,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Fibroblast
GSE163973_NF2_Keratinocyte,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Keratinocyte
GSE163973_NF2_Endothelial,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Endothelial
GSE163973_NF2_muscle_fiber,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",muscle_fiber
GSE163973_NF2_Lymphatic_endothelial,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Lymphatic_endothelial
GSE163973_NF2_Glandular,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Glandular
GSE163973_NF2_Melanocytes,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Melanocytes
GSE163973_NF2_Immune_cell,GSE163973,cell_type,"Given this single-cell pseudobulk expression profile, predict the dominant cell type. Answer:",Immune_cell
GSE163973_NF2_Endothelial_cluster_0,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_0
GSE163973_NF2_Endothelial_cluster_5,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_5
GSE163973_NF2_Endothelial_cluster_6,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Endothelial_cluster_6
GSE163973_NF2_Fibroblast_cluster_1,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_1
GSE163973_NF2_Fibroblast_cluster_3,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_3
GSE163973_NF2_Fibroblast_cluster_7,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_7
GSE163973_NF2_Fibroblast_cluster_13,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_13
GSE163973_NF2_Fibroblast_cluster_14,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Fibroblast_cluster_14
GSE163973_NF2_Glandular_cluster_15,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Glandular_cluster_15
GSE163973_NF2_Immune_cell_cluster_10,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Immune_cell_cluster_10
GSE163973_NF2_Keratinocyte_cluster_4,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_4
GSE163973_NF2_Keratinocyte_cluster_8,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_8
GSE163973_NF2_Keratinocyte_cluster_12,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_12
GSE163973_NF2_Keratinocyte_cluster_16,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Keratinocyte_cluster_16
GSE163973_NF2_Lymphatic_endothelial_cluster_11,GSE163973,celltype_subcluster,"Given this single-cell pseudobulk expression profile, predict the cell-type subcluster. Answer:",Lymphatic_endothelial_cluster_11
