task,feature_set,model,split_family,weighted_f1_mean,weighted_f1_std,weighted_f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,accuracy_mean,accuracy_std,accuracy_count
keloid_binary,profibrotic_module_only,elastic_net_logreg,grouped,0.7188386211933333,0.10805772897386602,15,0.6940661924666667,0.1099812121892327,15,0.7034614936200001,0.10398203447191906,15
keloid_binary,profibrotic_module_only,elastic_net_logreg,leave_accession_out,0.63639650604,0.23402796108491136,10,0.67780150404,0.1568838856305581,10,0.66741096575,0.1859752524482784,10
keloid_binary,profibrotic_module_only,hist_gradient_boosting,grouped,0.6037851805866666,0.13812438935802318,15,0.6542991178866667,0.07783160414711825,15,0.5876750956066666,0.11446637074672121,15
keloid_binary,profibrotic_module_only,hist_gradient_boosting,leave_accession_out,0.58927288936,0.15214615743760038,10,0.60513967514,0.15745552018326248,10,0.61909642064,0.14597146275549533,10
keloid_binary,profibrotic_module_only,knn,grouped,0.6129805321466667,0.08006151558250538,15,0.6241506611933333,0.06840078023217702,15,0.5851658122533333,0.07370387422262761,15
keloid_binary,profibrotic_module_only,knn,leave_accession_out,0.58278120981,0.15996342600677874,10,0.5961035261100001,0.16463831329373546,10,0.61005812949,0.1533061887253978,10
keloid_binary,profibrotic_module_only,linear_svm,grouped,0.7232408596533334,0.10570003304362725,15,0.69462656012,0.11224880141523537,15,0.7069664296866667,0.10421325509017605,15
keloid_binary,profibrotic_module_only,linear_svm,leave_accession_out,0.63420679657,0.23346549989030502,10,0.67594965219,0.1572508898988696,10,0.6649109657500001,0.18565625314791606,10
keloid_binary,profibrotic_module_only,majority,grouped,0.27121458551333333,0.2805605670290743,15,0.5,0.0,15,0.4020483620066667,0.2575354680446637,15
keloid_binary,profibrotic_module_only,majority,leave_accession_out,0.31970183427000004,0.1307623235036921,10,0.5,0.0,10,0.48059432235,0.1186438997997646,10
keloid_binary,profibrotic_module_only,random_forest,grouped,0.6365454493066667,0.053501710204815964,15,0.6511380154866667,0.06448687736586171,15,0.6101783810933334,0.04442421984026337,15
keloid_binary,profibrotic_module_only,random_forest,leave_accession_out,0.57951749224,0.15005200137306873,10,0.5909442409400001,0.15454766829186695,10,0.6080992599,0.14400589168696828,10
keloid_binary,profibrotic_module_only,small_mlp,grouped,0.6783345778066666,0.12944916830120695,15,0.67288643002,0.09344724899288534,15,0.6623391316066667,0.1325799142267961,15
keloid_binary,profibrotic_module_only,small_mlp,leave_accession_out,0.6514269607800001,0.18009232877533377,10,0.6575629000600001,0.16504191659071152,10,0.6832550203200001,0.15667995946902247,10
keloid_binary,profibrotic_module_only,stratified_random,grouped,0.49261361282666666,0.09824603805229486,15,0.4898865703066667,0.09048815617441172,15,0.46177248096,0.08838425950135761,15
keloid_binary,profibrotic_module_only,stratified_random,leave_accession_out,0.51846248652,0.13773201350776998,10,0.51261981754,0.15096270972856526,10,0.51511041053,0.14507734216893722,10
keloid_binary,published_markers_only,elastic_net_logreg,grouped,0.7027219242800001,0.10783541800991399,15,0.6802662133466667,0.11204765638703283,15,0.6876261162933334,0.1034385970225638,15
keloid_binary,published_markers_only,elastic_net_logreg,leave_accession_out,0.57607118548,0.1847915515427116,10,0.58023060272,0.18681893221397308,10,0.60207678335,0.18136851008720561,10
keloid_binary,published_markers_only,hist_gradient_boosting,grouped,0.64887866344,0.1026267461593695,15,0.6681933363733333,0.07636312383250765,15,0.6283700112,0.09689965201409273,15
keloid_binary,published_markers_only,hist_gradient_boosting,leave_accession_out,0.63024972441,0.1612223770046493,10,0.64872548747,0.11329893774592203,10,0.6608108076100001,0.12083108782431468,10
keloid_binary,published_markers_only,knn,grouped,0.61434156228,0.1385483440080461,15,0.6302587908,0.09711281416961326,15,0.5969122867533334,0.13017153409971852,15
keloid_binary,published_markers_only,knn,leave_accession_out,0.44967658161,0.21639494234983428,10,0.54359501608,0.13751727205571063,10,0.5037620951,0.15975856315689413,10
keloid_binary,published_markers_only,linear_svm,grouped,0.70272892076,0.10739102334020219,15,0.6820416153933333,0.11036332747187699,15,0.68692886588,0.10363408858757277,15
keloid_binary,published_markers_only,linear_svm,leave_accession_out,0.59890853582,0.19863469374284298,10,0.5990304602700001,0.20444167369291774,10,0.62473272878,0.19146967363276532,10
keloid_binary,published_markers_only,majority,grouped,0.27121458551333333,0.2805605670290743,15,0.5,0.0,15,0.4020483620066667,0.2575354680446637,15
keloid_binary,published_markers_only,majority,leave_accession_out,0.31970183427000004,0.1307623235036921,10,0.5,0.0,10,0.48059432235,0.1186438997997646,10
keloid_binary,published_markers_only,random_forest,grouped,0.6477973359733333,0.13461740383952206,15,0.6652639165666667,0.12201686219246048,15,0.6304543560933333,0.1359078750180176,15
keloid_binary,published_markers_only,random_forest,leave_accession_out,0.5820489768000001,0.18626268572542734,10,0.6005394605200001,0.172578411458772,10,0.62105539245,0.1623770379130453,10
keloid_binary,published_markers_only,small_mlp,grouped,0.5957227922266667,0.09035988322360851,15,0.5965768580733334,0.056531491733813395,15,0.5719300165133333,0.09383379822232939,15
keloid_binary,published_markers_only,small_mlp,leave_accession_out,0.53584936126,0.16414070116474672,10,0.55250800127,0.13574203797074225,10,0.57208668087,0.15721929474419147,10
keloid_binary,published_markers_only,stratified_random,grouped,0.49261361282666666,0.09824603805229486,15,0.4898865703066667,0.09048815617441172,15,0.46177248096,0.08838425950135761,15
keloid_binary,published_markers_only,stratified_random,leave_accession_out,0.51846248652,0.13773201350776998,10,0.51261981754,0.15096270972856526,10,0.51511041053,0.14507734216893722,10
keloid_binary,shared_genes,elastic_net_logreg,grouped,0.7421497560333333,0.13628244604238487,15,0.7116310725733334,0.13507965707563171,15,0.7373943502066668,0.13621010178559223,15
keloid_binary,shared_genes,elastic_net_logreg,leave_accession_out,0.5542838343200001,0.1751148210596485,10,0.57148125023,0.16149967384325348,10,0.58871635723,0.1654489650440992,10
keloid_binary,shared_genes,hist_gradient_boosting,grouped,0.55678708294,0.15695412216102278,15,0.6010237203466667,0.08263948188014705,15,0.54794281266,0.16699895405368612,15
keloid_binary,shared_genes,hist_gradient_boosting,leave_accession_out,0.5693932659500001,0.15562250680535974,10,0.58737225737,0.15264381354412285,10,0.61105181416,0.14007326230705464,10
keloid_binary,shared_genes,knn,grouped,0.5795408041666668,0.18112817681187804,15,0.5553498815266666,0.10987837895800492,15,0.5860256568000001,0.17255327112793126,15
keloid_binary,shared_genes,knn,leave_accession_out,0.4065176082,0.21505219933201852,10,0.50896256522,0.15632580896988787,10,0.49801143740000003,0.182424337820558,10
keloid_binary,shared_genes,linear_svm,grouped,0.6731395401266667,0.1587773486396083,15,0.66687267242,0.13039570685197752,15,0.6658923154333334,0.1548718744092063,15
keloid_binary,shared_genes,linear_svm,leave_accession_out,0.51547556055,0.238725762323346,10,0.58454332704,0.16446204872773143,10,0.55951991916,0.19588945365060015,10
keloid_binary,shared_genes,majority,grouped,0.27121458551333333,0.2805605670290743,15,0.5,0.0,15,0.4020483620066667,0.2575354680446637,15
keloid_binary,shared_genes,majority,leave_accession_out,0.31970183427000004,0.1307623235036921,10,0.5,0.0,10,0.48059432235,0.1186438997997646,10
keloid_binary,shared_genes,random_forest,grouped,0.53868406976,0.14487756631475474,15,0.5583563480266667,0.09195064396897268,15,0.5200857775866666,0.15030516295508545,15
keloid_binary,shared_genes,random_forest,leave_accession_out,0.40459580423999997,0.21023853791714303,10,0.54421976171,0.11873146795168975,10,0.51547037221,0.15405067100850967,10
keloid_binary,shared_genes,stratified_random,grouped,0.49261361282666666,0.09824603805229486,15,0.4898865703066667,0.09048815617441172,15,0.46177248096,0.08838425950135761,15
keloid_binary,shared_genes,stratified_random,leave_accession_out,0.51846248652,0.13773201350776998,10,0.51261981754,0.15096270972856526,10,0.51511041053,0.14507734216893722,10
keloid_binary,shared_genes_plus_modules,elastic_net_logreg,grouped,0.7405813894066667,0.13745653108524705,15,0.7090112221266668,0.13383838457293507,15,0.7357813544266667,0.13864321910586835,15
keloid_binary,shared_genes_plus_modules,elastic_net_logreg,leave_accession_out,0.5649178263600001,0.1745196193798564,10,0.58235246235,0.15734454534793135,10,0.5974967386500001,0.16461767282023074,10
keloid_binary,shared_genes_plus_modules,hist_gradient_boosting,grouped,0.5756397857200001,0.1611198124029303,15,0.6201543632466666,0.09099954068344822,15,0.56616280816,0.1674614303128477,15
keloid_binary,shared_genes_plus_modules,hist_gradient_boosting,leave_accession_out,0.52329988756,0.22170167642485084,10,0.5966098253500001,0.13516903383760648,10,0.56982675657,0.1718124035691148,10
keloid_binary,shared_genes_plus_modules,knn,grouped,0.5743866895733334,0.18175059478419708,15,0.5416782320666668,0.12440594162731257,15,0.5769962381733333,0.17717136843226047,15
keloid_binary,shared_genes_plus_modules,knn,leave_accession_out,0.41892012374,0.21763511520976897,10,0.51862586487,0.15217314868671522,10,0.50239695928,0.18227611255423887,10
keloid_binary,shared_genes_plus_modules,linear_svm,grouped,0.67169824964,0.15860900565432312,15,0.6667084801466667,0.12956147596916145,15,0.6655612432800001,0.15451136726758227,15
keloid_binary,shared_genes_plus_modules,linear_svm,leave_accession_out,0.5002905443300001,0.23546598043132003,10,0.56895410146,0.16550776162942532,10,0.5435749430800001,0.19439884913550295,10
keloid_binary,shared_genes_plus_modules,majority,grouped,0.27121458551333333,0.2805605670290743,15,0.5,0.0,15,0.4020483620066667,0.2575354680446637,15
keloid_binary,shared_genes_plus_modules,majority,leave_accession_out,0.31970183427000004,0.1307623235036921,10,0.5,0.0,10,0.48059432235,0.1186438997997646,10
keloid_binary,shared_genes_plus_modules,random_forest,grouped,0.5483835552866666,0.15251859875178203,15,0.55221359052,0.10711085698922296,15,0.52955843512,0.15945315774704008,15
keloid_binary,shared_genes_plus_modules,random_forest,leave_accession_out,0.43124330757999996,0.2563593842041922,10,0.56822584823,0.1665408398276138,10,0.53871231547,0.193534081178544,10
keloid_binary,shared_genes_plus_modules,small_mlp,grouped,0.6598603180466667,0.15758386178748077,15,0.66488630066,0.1067134871027075,15,0.6504672258333334,0.15622614549210823,15
keloid_binary,shared_genes_plus_modules,small_mlp,leave_accession_out,0.47555994435000004,0.1907376191139459,10,0.5374449624400001,0.12853424554636525,10,0.54167637966,0.16298488928903743,10
keloid_binary,shared_genes_plus_modules,stratified_random,grouped,0.49261361282666666,0.09824603805229486,15,0.4898865703066667,0.09048815617441172,15,0.46177248096,0.08838425950135761,15
keloid_binary,shared_genes_plus_modules,stratified_random,leave_accession_out,0.51846248652,0.13773201350776998,10,0.51261981754,0.15096270972856526,10,0.51511041053,0.14507734216893722,10
