sample_id,subcluster,core_gene_score,n_core_genes,profibrotic_fibroblast_score
GSE163973_NF1_fib_cluster_6,fib_cluster_6,0.0699571985527419,44,0.15788583703540307
GSE163973_NF1_fib_cluster_5,fib_cluster_5,0.0685800236719412,44,0.5710544791000756
GSE163973_KF3_fib_cluster_5,fib_cluster_5,0.06568162480606103,44,1.3538386293520839
GSE163973_KF1_fib_cluster_8,fib_cluster_8,0.06098597153192337,44,0.5754798244544742
GSE163973_NF2_fib_cluster_0,fib_cluster_0,0.043810406043621165,44,0.4583269269806624
GSE163973_NF3_fib_cluster_7,fib_cluster_7,0.038237102009602106,44,0.8506154044687981
GSE163973_NF3_fib_cluster_9,fib_cluster_9,0.036348906830756894,44,-0.37345319607978883
GSE163973_NF2_fib_cluster_4,fib_cluster_4,0.02161433623645476,44,-0.05796686636352921
GSE163973_NF2_fib_cluster_6,fib_cluster_6,0.011925823732357467,44,1.0285723576952681
GSE163973_KF1_fib_cluster_4,fib_cluster_4,0.0078223720640767,44,0.6860443614149468
GSE163973_NF2_fib_cluster_2,fib_cluster_2,0.006790705842425194,44,0.47197491284338633
GSE163973_NF2_fib_cluster_1,fib_cluster_1,-0.017242629338990154,44,-0.08879401118757776
GSE163973_KF1_fib_cluster_6,fib_cluster_6,-0.02233050737008423,44,-0.36712681120430923
GSE163973_NF3_fib_cluster_5,fib_cluster_5,-0.022908959906531377,44,0.348378853467306
GSE163973_NF1_fib_cluster_2,fib_cluster_2,-0.024861191357840415,44,-0.5718371476126406
GSE163973_NF3_fib_cluster_6,fib_cluster_6,-0.025103581603998018,44,0.20401323734881535
GSE163973_NF1_fib_cluster_8,fib_cluster_8,-0.029509409423963094,44,-1.638650781893061
GSE163973_NF1_fib_cluster_10,fib_cluster_10,-0.03234618151717617,44,-0.5644456199935594
GSE163973_NF3_fib_cluster_0,fib_cluster_0,-0.03322227468976723,44,-1.192154431711468
GSE163973_NF3_fib_cluster_3,fib_cluster_3,-0.04637791333551669,44,1.499699018877007
GSE163973_NF1_fib_cluster_1,fib_cluster_1,-0.0657177193316439,44,-0.6432725456300882
GSE163973_NF1_fib_cluster_0,fib_cluster_0,-0.06774421922999052,44,-0.774006347197522
GSE163973_NF3_fib_cluster_2,fib_cluster_2,-0.08944783880017038,44,0.18729403633274075
GSE163973_KF1_fib_cluster_12,fib_cluster_12,-0.09542041823248947,44,-0.4339941831162927
GSE163973_NF1_fib_cluster_4,fib_cluster_4,-0.11295299609531323,44,-1.3173821730520743
GSE163973_NF2_fib_cluster_8,fib_cluster_8,-0.1504044666173799,44,-1.5979056573397223
GSE163973_NF3_fib_cluster_4,fib_cluster_4,-0.17322617392998285,44,-2.2865911208189105
GSE163973_NF3_fib_cluster_1,fib_cluster_1,-0.20973846865839824,44,-0.23548562324597305
GSE163973_NF1_fib_cluster_11,fib_cluster_11,-0.22463931386712924,44,0.7434000231991569
GSE163973_NF3_fib_cluster_8,fib_cluster_8,-0.23680988542269324,44,-1.4826979855135338
GSE163973_NF3_fib_cluster_12,fib_cluster_12,-0.36580527895008447,44,-0.5603564460749293
GSE163973_NF3_fib_cluster_11,fib_cluster_11,-0.3904883432144885,44,-0.04069709862251733
