task,split_name,feature_set,model,n_train,n_test,train_label_counts,test_label_counts,accuracy,weighted_f1,balanced_accuracy,macro_f1,auroc,confusion_matrix,labels,error
keloid_binary,grouped_seed0_fold0,modules_only,linear_svm,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.64,0.6457971014492753,0.6701388888888888,0.6376811594202898,0.7222222222222222,"[[9, 7], [2, 7]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,modules_only,random_forest,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.56,0.5472463768115943,0.6319444444444444,0.5571658615136876,0.6041666666666666,"[[6, 10], [1, 8]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,modules_only,hist_gradient_boosting,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.56,0.56,0.6076388888888888,0.56,0.6180555555555556,"[[7, 9], [2, 7]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,modules_only,knn,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.48,0.48,0.5208333333333333,0.48,0.5798611111111112,"[[6, 10], [3, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold0,modules_only,small_mlp,127,25,"{'non_keloid': 66, 'keloid': 61}","{'keloid': 16, 'non_keloid': 9}",0.72,0.7228522920203736,0.7083333333333333,0.7028862478777589,0.7152777777777778,"[[12, 4], [3, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes_plus_modules,majority,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.8461538461538461,0.7756410256410255,0.5,0.4583333333333333,0.5,"[[0, 2], [0, 11]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes_plus_modules,stratified_random,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.38461538461538464,0.4538461538461539,0.4318181818181818,0.35,0.4318181818181819,"[[1, 1], [7, 4]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes_plus_modules,elastic_net_logreg,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.8461538461538461,0.8641025641025641,0.9090909090909092,0.7833333333333333,1.0,"[[2, 0], [2, 9]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes_plus_modules,linear_svm,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.6153846153846154,0.6674378253325621,0.5681818181818181,0.5112781954887218,0.7272727272727273,"[[1, 1], [4, 7]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes_plus_modules,random_forest,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.8461538461538461,0.7756410256410255,0.5,0.4583333333333333,0.7727272727272727,"[[0, 2], [0, 11]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes_plus_modules,hist_gradient_boosting,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.6923076923076923,0.7282051282051282,0.6136363636363636,0.5666666666666667,0.6818181818181819,"[[1, 1], [3, 8]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes_plus_modules,knn,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.8461538461538461,0.7756410256410255,0.5,0.4583333333333333,0.45454545454545453,"[[0, 2], [0, 11]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes_plus_modules,small_mlp,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.6153846153846154,0.6656611362493716,0.7727272727272727,0.5751633986928104,0.8636363636363636,"[[2, 0], [5, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes,majority,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.8461538461538461,0.7756410256410255,0.5,0.4583333333333333,0.5,"[[0, 2], [0, 11]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes,stratified_random,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.38461538461538464,0.4538461538461539,0.4318181818181818,0.35,0.4318181818181819,"[[1, 1], [7, 4]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes,elastic_net_logreg,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.7692307692307693,0.8004626951995373,0.8636363636363636,0.706766917293233,1.0,"[[2, 0], [3, 8]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes,linear_svm,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.6923076923076923,0.735042735042735,0.8181818181818181,0.6388888888888888,1.0,"[[2, 0], [4, 7]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes,random_forest,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.8461538461538461,0.7756410256410255,0.5,0.4583333333333333,1.0,"[[0, 2], [0, 11]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes,hist_gradient_boosting,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.6923076923076923,0.6923076923076923,0.4090909090909091,0.4090909090909091,0.6818181818181819,"[[0, 2], [2, 9]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,shared_genes,knn,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.8461538461538461,0.8641025641025641,0.9090909090909092,0.7833333333333333,0.9090909090909092,"[[2, 0], [2, 9]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,modules_only,majority,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.8461538461538461,0.7756410256410255,0.5,0.4583333333333333,0.5,"[[0, 2], [0, 11]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,modules_only,stratified_random,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.38461538461538464,0.4538461538461539,0.4318181818181818,0.35,0.4318181818181819,"[[1, 1], [7, 4]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,modules_only,elastic_net_logreg,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.5384615384615384,0.5923076923076922,0.3181818181818182,0.35,0.40909090909090906,"[[0, 2], [4, 7]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,modules_only,linear_svm,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.5384615384615384,0.5923076923076922,0.3181818181818182,0.35,0.2727272727272727,"[[0, 2], [4, 7]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,modules_only,random_forest,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.6153846153846154,0.6446886446886446,0.36363636363636365,0.38095238095238093,0.5,"[[0, 2], [3, 8]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,modules_only,hist_gradient_boosting,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.6923076923076923,0.7282051282051282,0.6136363636363636,0.5666666666666667,0.6363636363636364,"[[1, 1], [3, 8]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,modules_only,knn,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.8461538461538461,0.7756410256410255,0.5,0.4583333333333333,0.22727272727272727,"[[0, 2], [0, 11]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold1,modules_only,small_mlp,82,13,"{'non_keloid': 45, 'keloid': 37}","{'non_keloid': 11, 'keloid': 2}",0.23076923076923078,0.18498168498168496,0.5454545454545454,0.22619047619047616,0.5454545454545454,"[[2, 0], [10, 1]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes_plus_modules,majority,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.6451612903225806,0.5060088551549652,0.5,0.39215686274509803,0.5,"[[20, 0], [11, 0]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes_plus_modules,stratified_random,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.45161290322580644,0.46321897934801154,0.45227272727272727,0.4423280423280423,0.45227272727272727,"[[9, 11], [6, 5]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes_plus_modules,elastic_net_logreg,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.7419354838709677,0.7103786816269284,0.6568181818181817,0.6630434782608696,0.8772727272727272,"[[19, 1], [7, 4]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes_plus_modules,linear_svm,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.6774193548387096,0.65623981753014,0.6068181818181818,0.6085858585858586,0.7181818181818183,"[[17, 3], [7, 4]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes_plus_modules,random_forest,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.6774193548387096,0.6379733520336606,0.5863636363636364,0.5788043478260869,0.5772727272727273,"[[18, 2], [8, 3]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes_plus_modules,hist_gradient_boosting,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.7096774193548387,0.683111954459203,0.6318181818181818,0.6352941176470588,0.6409090909090909,"[[18, 2], [7, 4]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes_plus_modules,knn,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.6451612903225806,0.6451612903225806,0.7045454545454546,0.6451612903225806,0.6636363636363636,"[[10, 10], [1, 10]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes_plus_modules,small_mlp,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.6774193548387096,0.6689708141321045,0.6272727272727273,0.6309523809523809,0.7727272727272728,"[[16, 4], [6, 5]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes,majority,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.6451612903225806,0.5060088551549652,0.5,0.39215686274509803,0.5,"[[20, 0], [11, 0]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes,stratified_random,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.45161290322580644,0.46321897934801154,0.45227272727272727,0.4423280423280423,0.45227272727272727,"[[9, 11], [6, 5]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes,elastic_net_logreg,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.7096774193548387,0.6358434192535575,0.5909090909090909,0.5620094191522763,0.9045454545454545,"[[20, 0], [9, 2]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes,linear_svm,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.6774193548387096,0.575268817204301,0.5454545454545454,0.48333333333333334,0.9090909090909092,"[[20, 0], [10, 1]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes,random_forest,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.6451612903225806,0.5887897506291466,0.5409090909090909,0.5163120567375886,0.5318181818181819,"[[18, 2], [9, 2]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes,hist_gradient_boosting,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.5806451612903226,0.5422728231077377,0.49090909090909096,0.47320261437908495,0.6318181818181818,"[[16, 4], [9, 2]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,shared_genes,knn,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.6451612903225806,0.554919734643237,0.5204545454545454,0.46467817896389324,0.5431818181818182,"[[19, 1], [10, 1]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,modules_only,majority,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.6451612903225806,0.5060088551549652,0.5,0.39215686274509803,0.5,"[[20, 0], [11, 0]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,modules_only,stratified_random,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.45161290322580644,0.46321897934801154,0.45227272727272727,0.4423280423280423,0.45227272727272727,"[[9, 11], [6, 5]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,modules_only,elastic_net_logreg,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.7419354838709677,0.7351766513056835,0.6977272727272728,0.7047619047619047,0.6772727272727272,"[[17, 3], [5, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,modules_only,linear_svm,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.7096774193548387,0.7063054962346859,0.6727272727272727,0.6759581881533101,0.6681818181818182,"[[16, 4], [5, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,modules_only,random_forest,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.6129032258064516,0.6027649769585254,0.5568181818181819,0.5571428571428572,0.6272727272727273,"[[15, 5], [7, 4]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,modules_only,hist_gradient_boosting,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.5806451612903226,0.5757746056723241,0.5318181818181817,0.5319396051103369,0.6272727272727273,"[[14, 6], [7, 4]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,modules_only,knn,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.5161290322580645,0.5204444923940016,0.4818181818181818,0.4816053511705686,0.5431818181818182,"[[12, 8], [7, 4]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold2,modules_only,small_mlp,118,31,"{'keloid': 64, 'non_keloid': 54}","{'keloid': 20, 'non_keloid': 11}",0.7741935483870968,0.7642436925020729,0.7227272727272727,0.7343941248470012,0.6727272727272726,"[[18, 2], [5, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes_plus_modules,majority,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.35,0.18148148148148147,0.5,0.25925925925925924,0.5,"[[7, 0], [13, 0]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes_plus_modules,stratified_random,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.45,0.46265984654731457,0.44505494505494503,0.4373401534526854,0.44505494505494514,"[[3, 4], [7, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes_plus_modules,elastic_net_logreg,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.65,0.6546666666666667,0.6318681318681318,0.6266666666666667,0.7362637362637363,"[[4, 3], [4, 9]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes_plus_modules,linear_svm,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.5,0.5,0.45054945054945056,0.45054945054945056,0.5824175824175825,"[[2, 5], [5, 8]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes_plus_modules,random_forest,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.45,0.45689223057644107,0.478021978021978,0.44862155388471175,0.5164835164835165,"[[4, 3], [8, 5]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes_plus_modules,hist_gradient_boosting,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.55,0.5556390977443609,0.5879120879120879,0.5488721804511278,0.6263736263736264,"[[5, 2], [7, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes_plus_modules,knn,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.5,0.5,0.45054945054945056,0.45054945054945056,0.4010989010989011,"[[2, 5], [5, 8]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes_plus_modules,small_mlp,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.55,0.5603580562659847,0.554945054945055,0.5396419437340154,0.6263736263736264,"[[4, 3], [6, 7]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes,majority,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.35,0.18148148148148147,0.5,0.25925925925925924,0.5,"[[7, 0], [13, 0]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes,stratified_random,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.45,0.46265984654731457,0.44505494505494503,0.4373401534526854,0.44505494505494514,"[[3, 4], [7, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes,elastic_net_logreg,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.55,0.5556390977443609,0.5879120879120879,0.5488721804511278,0.7802197802197801,"[[5, 2], [7, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes,linear_svm,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.7,0.706060606060606,0.7362637362637363,0.696969696969697,0.8021978021978022,"[[6, 1], [5, 8]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes,random_forest,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.45,0.4403508771929824,0.510989010989011,0.44862155388471175,0.5494505494505495,"[[5, 2], [9, 4]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes,hist_gradient_boosting,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.5,0.5,0.5494505494505495,0.5,0.5714285714285714,"[[5, 2], [8, 5]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,shared_genes,knn,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.55,0.5189258312020459,0.6538461538461539,0.5396419437340154,0.7582417582417583,"[[7, 0], [9, 4]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,modules_only,majority,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.35,0.18148148148148147,0.5,0.25925925925925924,0.5,"[[7, 0], [13, 0]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,modules_only,stratified_random,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.45,0.46265984654731457,0.44505494505494503,0.4373401534526854,0.44505494505494514,"[[3, 4], [7, 6]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,modules_only,elastic_net_logreg,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.65,0.6580562659846547,0.6648351648351649,0.6419437340153453,0.6263736263736264,"[[5, 2], [5, 8]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,modules_only,linear_svm,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.6,0.6083333333333333,0.5934065934065934,0.5833333333333333,0.6043956043956045,"[[4, 3], [5, 8]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,modules_only,random_forest,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.6,0.6,0.5604395604395604,0.5604395604395604,0.6373626373626373,"[[3, 4], [4, 9]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,modules_only,hist_gradient_boosting,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.6,0.6,0.5604395604395604,0.5604395604395604,0.5384615384615385,"[[3, 4], [4, 9]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,modules_only,knn,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.65,0.6580562659846547,0.6648351648351649,0.6419437340153453,0.6538461538461539,"[[5, 2], [5, 8]]","['keloid', 'non_keloid']",
keloid_binary,grouped_seed0_fold3,modules_only,small_mlp,148,20,"{'keloid': 82, 'non_keloid': 66}","{'non_keloid': 13, 'keloid': 7}",0.55,0.5556390977443609,0.5879120879120879,0.5488721804511278,0.7362637362637363,"[[5, 2], [7, 6]]","['keloid', 'non_keloid']",
