path,method,compressed_size,uncompressed_size,local_offset
images/20190711_p176_slide39_ac1_vz_s1_p1_r1_a1_ac_full_l1_x0_y16_filtered.tiff,8,1262479,14895500,687084086
images/20190620_p176_slide27_ac1_vz_s1_p1_r15_a15_ac_full_l1_x0_y361_comp.tiff,8,838506,6221828,688346702
images/20190621_p176_slide36_ac1_vz_s1_p1_r1_a1_ac_full_l1_x0_y4_comp.tiff,8,2796296,22940852,689185344
images/20190715_p176_slide14_ac1_vz_s1_p1_r4_a4_ac_full_l6_x357_y1545_filtered.tiff,8,2204152,19635236,691981772
images/20190715_p173_slide22_ac1_vz_s1_p1_r17_a17_ac_full_l1_x0_y281_comp.tiff,8,667650,5110436,694186065
images/20190619_p173_slide8_ac1_vz_s1_p1_r6_a6_ac_full_l7_x376_y127_comp.tiff,8,792091,6663692,694853851
images/20190710_p173_slide6_ac1_vz_s1_p1_r6_a6_ac_full_l7_x217_y829_filtered.tiff,8,1050116,8580374,695646077
images/20190715_p173_slide22_ac1_vz_s1_p1_r15_a15_ac_full_l1_x0_y0_filtered.tiff,8,697089,4797500,696696332
images/20190715_p176_slide30_ac1_vz_s1_p1_r16_a16_ac_full_l7_x746_y382_comp.tiff,8,2065336,17176628,697393559
images/20190619_p176_slide20_ac1_vz_s1_p1_r6_a6_ac_full_l8_x332_y1481_comp.tiff,8,1986634,18707852,699459033
images/20190715_p173_slide16_ac1_vz_s1_p2_r30_a30_ac_full_l2_x134_y0_comp.tiff,8,1448764,12321224,701445804
images/20190620_p173_slide19_ac1_vz_s1_p1_r4_a4_ac_full_l1_x0_y0_comp.tiff,8,665674,4416428,702894704
images/20190620_p176_slide27_ac1_vz_s1_p1_r4_a4_ac_full_l1_x0_y0_comp.tiff,8,1357913,10614560,703560510
images/20190709_p176_slide11_ac1_vz_s1_p1_r15_a15_ac_full_l23_x1151_y1828_filtered.tiff,8,1048553,9773468,704918555
images/20190715_p173_slide16_ac1_vz_s1_p1_r17_a17_ac_full_l10_x1081_y732_filtered.tiff,8,59114,635694,705967253
images/20190708_p176_slide33_ac1_vz_s1_p1_r16_a16_ac_full_l2_x88_y237_comp.tiff,8,1321578,10519190,706026511
images/20190620_p173_slide19_ac1_vz_s1_p1_r3_a3_ac_full_l1_x0_y0_comp.tiff,8,888724,6053732,707348226
images/20190620_p173_slide34_ac1_vz_s1_p1_r2_a2_ac_full_l1_x0_y0_filtered.tiff,8,1381718,9705434,708237082
images/20190708_p176_slide33_ac1_vz_s1_p1_r16_a16_ac_full_l8_x868_y522_comp.tiff,8,3078169,25829900,709618936
images/20190715_p173_slide22_ac1_vz_s1_p1_r18_a18_ac_full_l2_x207_y0_filtered.tiff,8,2063076,14697008,712697243
images/20190620_p176_slide27_ac1_vz_s1_p1_r22_a22_ac_full_l2_x245_y364_comp.tiff,8,2274178,20024468,714760459
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l7_x461_y2066_filtered.tiff,8,1102675,11365892,717034775
images/20190710_p173_slide36_ac1_vz_s1_p1_r13_a13_ac_full_l3_x231_y214_filtered.tiff,8,624711,6121460,718137591
images/20190619_p176_slide20_ac1_vz_s1_p1_r6_a6_ac_full_l25_x1165_y343_comp.tiff,8,1387625,13253912,718762444
images/20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l2_x289_y155_filtered.tiff,8,705788,3954572,720150207
images/20190621_p173_slide13_ac1_vz_s1_p1_r4_a4_ac_full_l2_x101_y34_comp.tiff,8,497096,3844412,720856137
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l20_x1032_y547_filtered.tiff,8,205655,2541158,721353368
images/20190715_p173_slide22_ac1_vz_s1_p1_r27_a27_ac_full_l2_x0_y279_filtered.tiff,8,704828,6608000,721559165
images/20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y190_comp.tiff,8,1430288,10681472,722264133
images/20190711_p176_slide39_ac1_vz_s1_p1_r6_a6_ac_full_l5_x316_y193_filtered.tiff,8,2897967,28718744,723694557
images/20190715_p173_slide16_ac1_vz_s1_p1_r17_a17_ac_full_l9_x683_y0_filtered.tiff,8,1644130,16490372,726592664
images/20190715_p173_slide16_ac1_vz_s1_p1_r17_a17_ac_full_l7_x434_y229_filtered.tiff,8,2031977,18558422,728236934
images/20190708_p173_slide26_ac1_vz_s1_p6_r59_a59_ac_full_l1_x0_y220_comp.tiff,8,1263885,13853672,730269053
images/20190619_p173_slide8_ac1_vz_s1_p1_r6_a6_ac_full_l11_x701_y305_comp.tiff,8,697402,5899508,731533074
images/20190709_p176_slide16_ac1_vz_s1_p1_r7_a7_ac_full_l17_x784_y440_comp.tiff,8,1003559,9554372,732230612
images/20190715_p176_slide14_ac1_vz_s1_p1_r4_a4_ac_full_l36_x1955_y137_comp.tiff,8,422414,4462226,733234308
images/20190708_p176_slide33_ac1_vz_s1_p1_r16_a16_ac_full_l5_x303_y97_filtered.tiff,8,1493604,13516766,733656860
images/20190715_p176_slide14_ac1_vz_s1_p1_r4_a4_ac_full_l8_x539_y566_filtered.tiff,8,425436,3381536,735150605
images/20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l5_x1011_y215_comp.tiff,8,824554,8600876,735576181
images/20190710_p176_slide8_ac1_vz_s1_p1_r14_a14_ac_full_l14_x1178_y270_comp.tiff,8,942353,9204308,736400874
images/20190711_p176_slide39_ac1_vz_s1_p1_r6_a6_ac_full_l3_x70_y0_filtered.tiff,8,1581480,16204976,737343366
images/20190715_p176_slide14_ac1_vz_s1_p1_r4_a4_ac_full_l1_x0_y1070_filtered.tiff,8,1272494,12147314,738924983
images/20190621_p173_slide13_ac1_vz_s1_p1_r17_a17_ac_full_l7_x885_y0_filtered.tiff,8,292469,2316248,740197616
images/20190711_p173_slide28_ac1_vz_s1_p1_r9_a9_ac_full_l1_x2_y0_comp.tiff,8,1874877,14568998,740490225
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l12_x703_y2225_filtered.tiff,8,1358923,14688644,742365234
images/20190711_p176_slide39_ac1_vz_s1_p1_r2_a2_ac_full_l1_x7_y0_comp.tiff,8,1491107,15586346,743724299
images/20190619_p173_slide8_ac1_vz_s1_p1_r6_a6_ac_full_l9_x416_y292_comp.tiff,8,836484,6586886,745215538
images/20190711_p173_slide28_ac1_vz_s1_p1_r6_a6_ac_full_l1_x4_y5_comp.tiff,8,948178,7485812,746052157
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l6_x436_y1713_comp.tiff,8,333699,3535556,747000467
images/20190708_p173_slide26_ac1_vz_s1_p6_r49_a49_ac_full_l1_x0_y0_filtered.tiff,8,2420953,21692576,747334303
images/20190715_p173_slide22_ac1_vz_s1_p1_r19_a19_ac_full_l1_x0_y0_comp.tiff,8,1422585,10353644,749755394
images/20190715_p173_slide22_ac1_vz_s1_p1_r27_a27_ac_full_l1_x41_y220_filtered.tiff,8,342887,3249242,751178113
images/20190715_p173_slide16_ac1_vz_s1_p2_r24_a24_ac_full_l1_x0_y0_comp.tiff,8,342990,3455792,751521141
images/20190710_p173_slide36_ac1_vz_s1_p1_r4_a4_ac_full_l1_x0_y0_filtered.tiff,8,891422,7381772,751864265
images/20190709_p176_slide11_ac1_vz_s1_p1_r15_a15_ac_full_l7_x495_y1030_filtered.tiff,8,236356,2024834,752755823
images/20190710_p176_slide8_ac1_vz_s1_p1_r8_a8_ac_full_l1_x0_y0_filtered.tiff,8,467240,4502822,752992322
images/20190715_p173_slide16_ac1_vz_s1_p1_r17_a17_ac_full_l7_x434_y229_comp.tiff,8,2005172,18558422,753459697
images/20190620_p176_slide27_ac1_vz_s1_p1_r1_a1_ac_full_l1_x0_y12_filtered.tiff,8,1050390,8406872,755465007
images/20190620_p173_slide19_ac1_vz_s1_p1_r9_a9_ac_full_l2_x182_y400_comp.tiff,8,679622,4865636,756515534
images/20190708_p173_slide26_ac1_vz_s1_p5_r74_a74_ac_full_l1_x14_y2_filtered.tiff,8,715377,6932564,757195292
images/20190709_p173_slide2_ac1_vz_s1_p1_r11_a11_ac_full_l3_x174_y143_filtered.tiff,8,1091028,9803762,757910808
images/20190621_p173_slide13_ac1_vz_s1_p1_r10_a10_ac_full_l1_x0_y0_comp.tiff,8,1101649,8467562,759001977
images/20190620_p176_slide5_ac1_vz_s1_p1_r6_a6_ac_full_l32768_x0_y0_comp.tiff,8,301482,1937318,760103760
images/20190715_p173_slide16_ac1_vz_s1_p2_r21_a21_ac_full_l1_x0_y33_comp.tiff,8,1282344,10980638,760405377
images/20190708_p173_slide26_ac1_vz_s1_p5_r73_a73_ac_full_l1_x2_y0_comp.tiff,8,259561,2535344,761687856
images/20190620_p173_slide34_ac1_vz_s1_p1_r8_a8_ac_full_l2_x2_y128_filtered.tiff,8,530631,4168772,761947551
images/20190715_p173_slide22_ac1_vz_s1_p1_r17_a17_ac_full_l2_x50_y0_comp.tiff,8,1393753,10796018,762478320
images/20190715_p173_slide16_ac1_vz_s1_p2_r20_a20_ac_full_l1_x0_y0_comp.tiff,8,1466030,14084192,763872208
images/20190715_p173_slide22_ac1_vz_s1_p1_r13_a13_ac_full_l3_x271_y153_comp.tiff,8,387103,3059012,765338372
images/20190709_p176_slide16_ac1_vz_s1_p1_r7_a7_ac_full_l22_x959_y1855_comp.tiff,8,3040813,27719552,765725613
images/20190715_p173_slide22_ac1_vz_s1_p1_r15_a15_ac_full_l1_x0_y0_comp.tiff,8,689816,4797500,768766564
images/20190619_p176_slide20_ac1_vz_s1_p1_r6_a6_ac_full_l20_x959_y729_comp.tiff,8,3732530,31632578,769456514
images/20190709_p176_slide16_ac1_vz_s1_p1_r7_a7_ac_full_l2_x97_y1467_comp.tiff,8,1672892,15425900,773189181
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l43_x1981_y241_comp.tiff,8,724550,8000300,774862209
images/20190708_p173_slide26_ac1_vz_s1_p6_r50_a50_ac_full_l1_x0_y0_comp.tiff,8,165398,1691396,775586897
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l35_x1411_y1801_comp.tiff,8,457846,5795060,775752429
images/20190711_p176_slide2_ac1_vz_s1_p1_r1_a1_ac_full_l1_x0_y0_comp.tiff,8,447799,3515768,776210414
images/20190715_p173_slide22_ac1_vz_s1_p1_r20_a20_ac_full_l1_x0_y0_filtered.tiff,8,1992334,16418564,776658344
images/20190620_p173_slide34_ac1_vz_s1_p1_r6_a6_ac_full_l4_x361_y0_comp.tiff,8,1453668,12787772,778650816
images/20190709_p176_slide16_ac1_vz_s1_p1_r7_a7_ac_full_l6_x342_y1266_filtered.tiff,8,1689082,16161830,780104618
images/20190710_p173_slide6_ac1_vz_s1_p1_r6_a6_ac_full_l1_x30_y871_filtered.tiff,8,549575,5065658,781793841
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l31_x1300_y1904_comp.tiff,8,1554972,19768244,782343554
images/20190621_p176_slide36_ac1_vz_s1_p1_r12_a12_ac_full_l2_x226_y405_filtered.tiff,8,3981794,29500676,783898665
images/20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l2_x277_y0_comp.tiff,8,450360,4014956,787880601
images/20190619_p176_slide20_ac1_vz_s1_p1_r6_a6_ac_full_l37_x1833_y497_filtered.tiff,8,2211808,17698256,788331097
images/20190715_p176_slide30_ac1_vz_s1_p1_r16_a16_ac_full_l2_x47_y510_filtered.tiff,8,2029150,19167872,790543047
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l37_x1644_y341_comp.tiff,8,1239746,15137648,792572338
images/20190709_p176_slide16_ac1_vz_s1_p1_r7_a7_ac_full_l39_x1983_y684_filtered.tiff,8,1658241,15246788,793812222
images/20190715_p173_slide16_ac1_vz_s1_p2_r23_a23_ac_full_l2_x134_y0_comp.tiff,8,656415,5905322,795470605
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l29_x1298_y1525_filtered.tiff,8,1323182,13078676,796127156
images/20190709_p176_slide11_ac1_vz_s1_p1_r15_a15_ac_full_l26_x1222_y1251_filtered.tiff,8,1426605,12465248,797450481
images/20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l5_x571_y153_comp.tiff,8,2140661,17749052,798877231
images/20190711_p173_slide28_ac1_vz_s1_p1_r10_a10_ac_full_l1_x4_y0_filtered.tiff,8,918413,6928892,801018030
images/20190709_p176_slide11_ac1_vz_s1_p1_r5_a5_ac_full_l32768_x0_y0_filtered.tiff,8,101784,1142432,801936581
images/20190620_p176_slide5_ac1_vz_s1_p1_r2_a2_ac_full_l1_x3_y0_comp.tiff,8,509983,4186724,802038505
images/20190709_p176_slide16_ac1_vz_s1_p1_r7_a7_ac_full_l41_x2211_y1248_filtered.tiff,8,1037806,10115780,802548619
images/20190709_p176_slide47_ac1_vz_s1_p1_r8_a8_ac_full_l1_x0_y0_filtered.tiff,8,1115033,11088860,803586568
images/20190715_p173_slide16_ac1_vz_s1_p2_r37_a37_ac_full_l11_x714_y1025_filtered.tiff,8,2315470,17284238,804701737
images/20190620_p176_slide27_ac1_vz_s1_p1_r5_a5_ac_full_l2_x38_y320_filtered.tiff,8,1163426,9074156,807017351
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l3_x246_y862_filtered.tiff,8,236137,2952422,808180916
images/20190715_p173_slide22_ac1_vz_s1_p1_r1_a1_ac_full_l2_x98_y270_comp.tiff,8,560826,4452740,808417193
images/20190621_p173_slide13_ac1_vz_s1_p1_r4_a4_ac_full_l1_x0_y0_comp.tiff,8,467229,3786884,808978154
images/20190709_p176_slide11_ac1_vz_s1_p1_r15_a15_ac_full_l9_x503_y1561_comp.tiff,8,1132131,11317442,809445515
images/20190620_p173_slide19_ac1_vz_s1_p1_r4_a4_ac_full_l2_x59_y80_comp.tiff,8,504236,3270356,810577785
images/20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l3_x602_y162_filtered.tiff,8,1283848,13222292,811082155
images/20190621_p173_slide13_ac1_vz_s1_p1_r8_a8_ac_full_l1_x0_y899_filtered.tiff,8,1536167,9944828,812366145
images/20190715_p176_slide14_ac1_vz_s1_p1_r4_a4_ac_full_l36_x1955_y137_filtered.tiff,8,428850,4462226,813902450
images/20190625_p173_slide10_ac1_vz_s1_p1_r17_a17_ac_full_l5_x96_y426_filtered.tiff,8,2151678,17742932,814331442
images/20190709_p176_slide11_ac1_vz_s1_p1_r15_a15_ac_full_l19_x907_y581_filtered.tiff,8,748068,7126262,816483261
images/20190715_p173_slide16_ac1_vz_s1_p1_r3_a3_ac_full_l32768_x0_y0_filtered.tiff,8,295663,3153464,817231472
images/20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l6_x851_y0_filtered.tiff,8,878251,7195112,817527275
images/20190715_p173_slide16_ac1_vz_s1_p2_r37_a37_ac_full_l10_x790_y744_comp.tiff,8,949792,9256022,818405666
images/20190619_p176_slide43_ac1_vz_s1_p1_r1_a1_ac_full_l1_x0_y0_comp.tiff,8,1029859,8082512,819355597
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l35_x1411_y1801_filtered.tiff,8,470363,5795060,820385588
images/20190710_p176_slide8_ac1_vz_s1_p1_r14_a14_ac_full_l14_x1178_y270_filtered.tiff,8,958003,9204308,820856094
images/20190711_p173_slide28_ac1_vz_s1_p1_r8_a8_ac_full_l1_x0_y2_filtered.tiff,8,1255137,10441772,821814240
images/20190619_p173_slide8_ac1_vz_s1_p1_r6_a6_ac_full_l8_x339_y545_filtered.tiff,8,786249,6788132,823069513
images/20190708_p173_slide26_ac1_vz_s1_p5_r66_a66_ac_full_l32768_x0_y0_comp.tiff,8,215743,2396114,823855901
images/20190708_p173_slide26_ac1_vz_s1_p5_r77_a77_ac_full_l1_x0_y424_filtered.tiff,8,864189,8629946,824071782
images/20190619_p176_slide20_ac1_vz_s1_p1_r6_a6_ac_full_l34_x1760_y394_filtered.tiff,8,499332,4482728,824936111
images/20190708_p173_slide39_ac1_vz_s1_p1_r11_a11_ac_full_l1_x0_y0_filtered.tiff,8,1008000,7861784,825435585
images/20190711_p173_slide28_ac1_vz_s1_p1_r8_a8_ac_full_l3_x254_y137_comp.tiff,8,1424506,9766532,826443723
images/20190715_p176_slide30_ac1_vz_s1_p1_r6_a6_ac_full_l1_x0_y96_comp.tiff,8,561543,4511492,827868365
images/20190708_p176_slide33_ac1_vz_s1_p1_r16_a16_ac_full_l1_x0_y0_filtered.tiff,8,981372,9338744,828430041
images/20190709_p176_slide16_ac1_vz_s1_p1_r7_a7_ac_full_l43_x2301_y814_filtered.tiff,8,1289788,14312060,829411551
images/20190710_p173_slide6_ac1_vz_s1_p1_r6_a6_ac_full_l5_x151_y1219_filtered.tiff,8,389432,3512708,830701481
images/20190710_p176_slide8_ac1_vz_s1_p1_r14_a14_ac_full_l6_x393_y620_filtered.tiff,8,1197102,11428010,831091053
images/20190619_p173_slide31_ac1_vz_s1_p1_r7_a7_ac_full_l1_x2_y0_filtered.tiff,8,1146973,9347822,832288296
images/20190709_p176_slide11_ac1_vz_s1_p1_r15_a15_ac_full_l17_x772_y1763_comp.tiff,8,871983,8640962,833435405
images/20190619_p173_slide31_ac1_vz_s1_p1_r9_a9_ac_full_l1_x0_y0_filtered.tiff,8,722731,5507828,834307528
images/20190625_p173_slide10_ac1_vz_s1_p1_r18_a18_ac_full_l5_x404_y500_filtered.tiff,8,1457151,9113732,835030395
images/20190708_p173_slide26_ac1_vz_s1_p5_r69_a69_ac_full_l1_x3_y3_comp.tiff,8,771295,8580374,836487688
images/20190625_p173_slide10_ac1_vz_s1_p1_r17_a17_ac_full_l2_x37_y0_filtered.tiff,8,100615,1158139,837259117
images/20190715_p173_slide16_ac1_vz_s1_p2_r22_a22_ac_full_l1_x0_y0_comp.tiff,8,413598,4284440,837359871
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l14_x715_y1159_filtered.tiff,8,1162650,12213206,837773603
images/20190710_p173_slide36_ac1_vz_s1_p1_r13_a13_ac_full_l4_x250_y0_comp.tiff,8,867028,7683692,838936395
images/20190708_p176_slide33_ac1_vz_s1_p1_r16_a16_ac_full_l4_x162_y876_filtered.tiff,8,1458162,12029708,839803559
images/20190708_p173_slide26_ac1_vz_s1_p5_r72_a72_ac_full_l1_x0_y0_comp.tiff,8,1587461,14599802,841261863
images/20190620_p173_slide19_ac1_vz_s1_p1_r4_a4_ac_full_l1_x0_y0_filtered.tiff,8,680306,4416428,842849458
images/20190619_p173_slide8_ac1_vz_s1_p1_r6_a6_ac_full_l1_x0_y819_filtered.tiff,8,1383122,11704022,843529900
images/20190709_p176_slide16_ac1_vz_s1_p1_r7_a7_ac_full_l28_x1394_y1748_filtered.tiff,8,986462,8524682,844913159
images/20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l5_x680_y0_comp.tiff,8,1021538,9728792,845899764
images/20190625_p173_slide10_ac1_vz_s1_p1_r18_a18_ac_full_l5_x404_y500_comp.tiff,8,1429225,9113732,846921438
images/20190715_p173_slide16_ac1_vz_s1_p2_r37_a37_ac_full_l14_x1031_y763_comp.tiff,8,1134535,10063862,848350801
images/20190715_p173_slide16_ac1_vz_s1_p2_r37_a37_ac_full_l7_x421_y214_filtered.tiff,8,2623433,22591502,849485476
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l10_x566_y1509_comp.tiff,8,826082,10408112,852109051
images/20190715_p173_slide16_ac1_vz_s1_p1_r4_a4_ac_full_l1_x0_y0_comp.tiff,8,331787,3200996,852935271
images/20190709_p176_slide16_ac1_vz_s1_p1_r7_a7_ac_full_l42_x2340_y624_filtered.tiff,8,338580,3801776,853267190
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l5_x295_y1063_comp.tiff,8,1476817,17981306,853605912
images/20190708_p173_slide26_ac1_vz_s1_p4_r18_a18_ac_full_l1_x9_y140_comp.tiff,8,711504,5769764,855082866
images/20190708_p173_slide26_ac1_vz_s1_p6_r56_a56_ac_full_l1_x0_y0_comp.tiff,8,797476,7852604,855794506
images/20190708_p173_slide26_ac1_vz_s1_p6_r59_a59_ac_full_l1_x0_y220_filtered.tiff,8,1271315,13853672,856592116
images/20190619_p176_slide20_ac1_vz_s1_p1_r6_a6_ac_full_l32_x1537_y493_comp.tiff,8,1288650,11760632,857863571
images/20190710_p176_slide23_ac1_vz_s1_p1_r6_a6_ac_full_l13_x681_y1816_filtered.tiff,8,1218754,15242096,859152359
images/20190715_p173_slide16_ac1_vz_s1_p2_r37_a37_ac_full_l4_x212_y439_filtered.tiff,8,540480,4637972,860371255
images/20190711_p176_slide39_ac1_vz_s1_p1_r6_a6_ac_full_l2_x0_y560_comp.tiff,8,1711719,18517316,860911877
images/20190621_p173_slide4_ac1_vz_s1_p1_r16_a16_ac_full_l4_x447_y64_filtered.tiff,8,1385658,9943604,862623730
images/20190621_p173_slide13_ac1_vz_s1_p1_r10_a10_ac_full_l4_x481_y124_filtered.tiff,8,1182104,8011520,864009528
images/20190619_p176_slide20_ac1_vz_s1_p1_r6_a6_ac_full_l33_x1580_y1515_comp.tiff,8,1293838,13209134,865191774
images/20190708_p176_slide33_ac1_vz_s1_p1_r16_a16_ac_full_l6_x412_y338_comp.tiff,8,3242906,28064312,866485751
