image_id,image_number,image_pos_x,image_pos_y,image_shape_h,image_shape_w,crop_number,acquisition_id,bc_depth,bc_invalid,bc_valid,bc_highest_count,bc_second_count,condition_id,condition_name,time_point,barcode,concentration,plate_id,bc_plate,bc_x,bc_y,well_name,sampleblock_id,site_id,acquisition_mcd_acid,acquisition_mcd_roiid,slideac_id,site_mcd_panoramaid,slide_id,slideac_name,slide_number,sampleblock_name,cellline,hastelox,mask_filename_cell,mask_filename_cyto,mask_filename_nucleiexp,image_stack_filename_FullStackComp,image_stack_filename_FullStackFiltered
458,458,0,0,253,229,1,182,30.0,102,49,48,1,77,DLD-1_c0.25_tp72,72.0,"{'Pd102': 1, 'Pd104': 0, 'Pd105': 1, 'Pd106': 1, 'Pd108': 0, 'Pd110': 0, 'In113': 0, 'In115': 1}",0.25,173,1,10,E,E10,1,23,7,7,21,1,21,20190710_p173_slide36_ac1_vz,36,p173,DLD-1,1,20190710_p173_slide36_ac1_vz_s1_p1_r7_a7_ac_full_l1_x0_y0_cell.tiff,20190710_p173_slide36_ac1_vz_s1_p1_r7_a7_ac_full_l1_x0_y0_cyto.tiff,20190710_p173_slide36_ac1_vz_s1_p1_r7_a7_ac_full_l1_x0_y0_nucleiexp.tiff,20190710_p173_slide36_ac1_vz_s1_p1_r7_a7_ac_full_l1_x0_y0_comp.tiff,20190710_p173_slide36_ac1_vz_s1_p1_r7_a7_ac_full_l1_x0_y0_filtered.tiff
549,549,282,286,270,263,3,198,30.0,50,42,40,2,77,DLD-1_c0.25_tp72,72.0,"{'Pd102': 1, 'Pd104': 0, 'Pd105': 1, 'Pd106': 1, 'Pd108': 0, 'Pd110': 0, 'In113': 0, 'In115': 1}",0.25,173,1,10,E,E10,1,27,13,13,25,1,25,20190711_p173_slide28_ac1_vz,28,p173,DLD-1,1,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l3_x282_y286_cell.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l3_x282_y286_cyto.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l3_x282_y286_nucleiexp.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l3_x282_y286_comp.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l3_x282_y286_filtered.tiff
4,4,0,127,409,383,1,3,30.0,178,77,76,1,29,DLD-1_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 0, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 1, 'In115': 0}",1.0,173,1,6,C,C06,1,1,14,14,1,1,1,20190619_p173_slide31_ac1_vz,31,p173,DLD-1,1,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l1_x0_y127_cell.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l1_x0_y127_cyto.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l1_x0_y127_nucleiexp.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l1_x0_y127_comp.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l1_x0_y127_filtered.tiff
128,128,0,148,367,379,2,41,30.0,158,37,34,1,29,DLD-1_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 0, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 1, 'In115': 0}",1.0,173,1,6,C,C06,1,6,6,6,6,1,6,20190620_p173_slide34_ac1_vz,34,p173,DLD-1,1,20190620_p173_slide34_ac1_vz_s1_p1_r6_a6_ac_full_l2_x0_y148_cell.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r6_a6_ac_full_l2_x0_y148_cyto.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r6_a6_ac_full_l2_x0_y148_nucleiexp.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r6_a6_ac_full_l2_x0_y148_comp.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r6_a6_ac_full_l2_x0_y148_filtered.tiff
286,286,602,162,410,316,3,118,30.0,142,57,56,1,29,DLD-1_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 0, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 1, 'In115': 0}",1.0,173,1,6,C,C06,1,14,31,31,14,4,14,20190708_p173_slide26_ac1_vz,26,p173,DLD-1,1,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l3_x602_y162_cell.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l3_x602_y162_cyto.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l3_x602_y162_nucleiexp.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l3_x602_y162_comp.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l3_x602_y162_filtered.tiff
313,313,405,266,399,399,4,133,30.0,187,65,65,0,29,DLD-1_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 0, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 1, 'In115': 0}",1.0,173,1,6,C,C06,1,15,78,78,14,5,14,20190708_p173_slide26_ac1_vz,26,p173,DLD-1,1,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l4_x405_y266_cell.tiff,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l4_x405_y266_cyto.tiff,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l4_x405_y266_nucleiexp.tiff,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l4_x405_y266_comp.tiff,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l4_x405_y266_filtered.tiff
328,328,0,220,375,362,1,146,30.0,163,69,67,1,29,DLD-1_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 0, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 1, 'In115': 0}",1.0,173,1,6,C,C06,1,16,59,59,14,6,14,20190708_p173_slide26_ac1_vz,26,p173,DLD-1,1,20190708_p173_slide26_ac1_vz_s1_p6_r59_a59_ac_full_l1_x0_y220_cell.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r59_a59_ac_full_l1_x0_y220_cyto.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r59_a59_ac_full_l1_x0_y220_nucleiexp.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r59_a59_ac_full_l1_x0_y220_comp.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r59_a59_ac_full_l1_x0_y220_filtered.tiff
453,453,0,229,262,311,1,180,30.0,78,59,59,0,29,DLD-1_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 0, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 1, 'In115': 0}",1.0,173,1,6,C,C06,1,23,13,13,21,1,21,20190710_p173_slide36_ac1_vz,36,p173,DLD-1,1,20190710_p173_slide36_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y229_cell.tiff,20190710_p173_slide36_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y229_cyto.tiff,20190710_p173_slide36_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y229_nucleiexp.tiff,20190710_p173_slide36_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y229_comp.tiff,20190710_p173_slide36_ac1_vz_s1_p1_r13_a13_ac_full_l1_x0_y229_filtered.tiff
551,551,571,153,446,390,5,198,30.0,171,76,73,1,29,DLD-1_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 0, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 1, 'In115': 0}",1.0,173,1,6,C,C06,1,27,13,13,25,1,25,20190711_p173_slide28_ac1_vz,28,p173,DLD-1,1,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l5_x571_y153_cell.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l5_x571_y153_cyto.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l5_x571_y153_nucleiexp.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l5_x571_y153_comp.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l5_x571_y153_filtered.tiff
656,656,0,0,257,224,1,244,30.0,37,32,31,1,29,DLD-1_c1.0_tp72,72.0,"{'Pd102': 0, 'Pd104': 1, 'Pd105': 0, 'Pd106': 1, 'Pd108': 1, 'Pd110': 0, 'In113': 1, 'In115': 0}",1.0,173,1,6,C,C06,1,32,16,16,29,1,29,20190715_p173_slide22_ac1_vz,22,p173,DLD-1,1,20190715_p173_slide22_ac1_vz_s1_p1_r16_a16_ac_full_l1_x0_y0_cell.tiff,20190715_p173_slide22_ac1_vz_s1_p1_r16_a16_ac_full_l1_x0_y0_cyto.tiff,20190715_p173_slide22_ac1_vz_s1_p1_r16_a16_ac_full_l1_x0_y0_nucleiexp.tiff,20190715_p173_slide22_ac1_vz_s1_p1_r16_a16_ac_full_l1_x0_y0_comp.tiff,20190715_p173_slide22_ac1_vz_s1_p1_r16_a16_ac_full_l1_x0_y0_filtered.tiff
5,5,277,0,188,209,2,3,30.0,71,24,23,1,65,DLD-1_c0.25_tp72,72.0,"{'Pd102': 1, 'Pd104': 0, 'Pd105': 0, 'Pd106': 1, 'Pd108': 0, 'Pd110': 1, 'In113': 1, 'In115': 0}",0.25,173,1,4,E,E04,1,1,14,14,1,1,1,20190619_p173_slide31_ac1_vz,31,p173,DLD-1,0,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l2_x277_y0_cell.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l2_x277_y0_cyto.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l2_x277_y0_nucleiexp.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l2_x277_y0_comp.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l2_x277_y0_filtered.tiff
287,287,867,0,277,277,4,118,30.0,118,32,31,1,65,DLD-1_c0.25_tp72,72.0,"{'Pd102': 1, 'Pd104': 0, 'Pd105': 0, 'Pd106': 1, 'Pd108': 0, 'Pd110': 1, 'In113': 1, 'In115': 0}",0.25,173,1,4,E,E04,1,14,31,31,14,4,14,20190708_p173_slide26_ac1_vz,26,p173,DLD-1,0,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l4_x867_y0_cell.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l4_x867_y0_cyto.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l4_x867_y0_nucleiexp.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l4_x867_y0_comp.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l4_x867_y0_filtered.tiff
312,312,393,45,287,259,3,133,30.0,113,45,45,0,65,DLD-1_c0.25_tp72,72.0,"{'Pd102': 1, 'Pd104': 0, 'Pd105': 0, 'Pd106': 1, 'Pd108': 0, 'Pd110': 1, 'In113': 1, 'In115': 0}",0.25,173,1,4,E,E04,1,15,78,78,14,5,14,20190708_p173_slide26_ac1_vz,26,p173,DLD-1,0,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l3_x393_y45_cell.tiff,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l3_x393_y45_cyto.tiff,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l3_x393_y45_nucleiexp.tiff,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l3_x393_y45_comp.tiff,20190708_p173_slide26_ac1_vz_s1_p5_r78_a78_ac_full_l3_x393_y45_filtered.tiff
329,329,128,0,249,267,2,146,30.0,118,42,42,0,65,DLD-1_c0.25_tp72,72.0,"{'Pd102': 1, 'Pd104': 0, 'Pd105': 0, 'Pd106': 1, 'Pd108': 0, 'Pd110': 1, 'In113': 1, 'In115': 0}",0.25,173,1,4,E,E04,1,16,59,59,14,6,14,20190708_p173_slide26_ac1_vz,26,p173,DLD-1,0,20190708_p173_slide26_ac1_vz_s1_p6_r59_a59_ac_full_l2_x128_y0_cell.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r59_a59_ac_full_l2_x128_y0_cyto.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r59_a59_ac_full_l2_x128_y0_nucleiexp.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r59_a59_ac_full_l2_x128_y0_comp.tiff,20190708_p173_slide26_ac1_vz_s1_p6_r59_a59_ac_full_l2_x128_y0_filtered.tiff
552,552,851,0,270,261,6,198,30.0,121,33,33,0,65,DLD-1_c0.25_tp72,72.0,"{'Pd102': 1, 'Pd104': 0, 'Pd105': 0, 'Pd106': 1, 'Pd108': 0, 'Pd110': 1, 'In113': 1, 'In115': 0}",0.25,173,1,4,E,E04,1,27,13,13,25,1,25,20190711_p173_slide28_ac1_vz,28,p173,DLD-1,0,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l6_x851_y0_cell.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l6_x851_y0_cyto.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l6_x851_y0_nucleiexp.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l6_x851_y0_comp.tiff,20190711_p173_slide28_ac1_vz_s1_p1_r13_a13_ac_full_l6_x851_y0_filtered.tiff
657,657,0,281,212,236,1,245,30.0,98,32,31,1,65,DLD-1_c0.25_tp72,72.0,"{'Pd102': 1, 'Pd104': 0, 'Pd105': 0, 'Pd106': 1, 'Pd108': 0, 'Pd110': 1, 'In113': 1, 'In115': 0}",0.25,173,1,4,E,E04,1,32,17,17,29,1,29,20190715_p173_slide22_ac1_vz,22,p173,DLD-1,0,20190715_p173_slide22_ac1_vz_s1_p1_r17_a17_ac_full_l1_x0_y281_cell.tiff,20190715_p173_slide22_ac1_vz_s1_p1_r17_a17_ac_full_l1_x0_y281_cyto.tiff,20190715_p173_slide22_ac1_vz_s1_p1_r17_a17_ac_full_l1_x0_y281_nucleiexp.tiff,20190715_p173_slide22_ac1_vz_s1_p1_r17_a17_ac_full_l1_x0_y281_comp.tiff,20190715_p173_slide22_ac1_vz_s1_p1_r17_a17_ac_full_l1_x0_y281_filtered.tiff
6,6,389,144,351,355,3,3,30.0,84,72,71,1,53,T-REx-293_c0.5_tp72,72.0,"{'Pd102': 1, 'Pd104': 1, 'Pd105': 1, 'Pd106': 0, 'Pd108': 0, 'Pd110': 0, 'In113': 1, 'In115': 0}",0.5,173,1,8,D,D08,1,1,14,14,1,1,1,20190619_p173_slide31_ac1_vz,31,p173,T-REx-293,0,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l3_x389_y144_cell.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l3_x389_y144_cyto.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l3_x389_y144_nucleiexp.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l3_x389_y144_comp.tiff,20190619_p173_slide31_ac1_vz_s1_p1_r14_a14_ac_full_l3_x389_y144_filtered.tiff
130,130,361,0,350,358,4,41,30.0,77,38,35,1,53,T-REx-293_c0.5_tp72,72.0,"{'Pd102': 1, 'Pd104': 1, 'Pd105': 1, 'Pd106': 0, 'Pd108': 0, 'Pd110': 0, 'In113': 1, 'In115': 0}",0.5,173,1,8,D,D08,1,6,6,6,6,1,6,20190620_p173_slide34_ac1_vz,34,p173,T-REx-293,0,20190620_p173_slide34_ac1_vz_s1_p1_r6_a6_ac_full_l4_x361_y0_cell.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r6_a6_ac_full_l4_x361_y0_cyto.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r6_a6_ac_full_l4_x361_y0_nucleiexp.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r6_a6_ac_full_l4_x361_y0_comp.tiff,20190620_p173_slide34_ac1_vz_s1_p1_r6_a6_ac_full_l4_x361_y0_filtered.tiff
288,288,1011,215,357,236,5,118,30.0,71,63,58,3,53,T-REx-293_c0.5_tp72,72.0,"{'Pd102': 1, 'Pd104': 1, 'Pd105': 1, 'Pd106': 0, 'Pd108': 0, 'Pd110': 0, 'In113': 1, 'In115': 0}",0.5,173,1,8,D,D08,1,14,31,31,14,4,14,20190708_p173_slide26_ac1_vz,26,p173,T-REx-293,0,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l5_x1011_y215_cell.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l5_x1011_y215_cyto.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l5_x1011_y215_nucleiexp.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l5_x1011_y215_comp.tiff,20190708_p173_slide26_ac1_vz_s1_p4_r31_a31_ac_full_l5_x1011_y215_filtered.tiff
