task,split_name,feature_set,model,normalization_mode,n_train,n_test,accuracy,weighted_f1,balanced_accuracy,macro_f1,auroc,threshold,confusion_matrix,labels
keloid_binary,leave_accession_out_GSE181297,published_markers_only,ensemble_member,quantile_rank,379,7,0.5714285714285714,0.4155844155844156,0.5,0.36363636363636365,0.0,0.1,"[[4, 0], [3, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE181297,shared_genes,ensemble_member,quantile_rank,379,7,0.5714285714285714,0.4155844155844156,0.5,0.36363636363636365,0.0,0.1,"[[4, 0], [3, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE181297,stacked_ensemble,calibrated_soft_vote,quantile_rank,379,7,0.5714285714285714,0.4155844155844156,0.5,0.36363636363636365,0.0,0.1,"[[4, 0], [3, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE188952,modules_rank_only,ensemble_member,quantile_rank,333,12,0.3333333333333333,0.16666666666666666,0.5,0.25,0.96875,0.1,"[[4, 0], [8, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE188952,modules_rank_plus_expanded,ensemble_member,quantile_rank,333,12,0.3333333333333333,0.16666666666666666,0.5,0.25,0.875,0.1,"[[4, 0], [8, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE188952,profibrotic_module_only,ensemble_member,quantile_rank,333,12,0.3333333333333333,0.16666666666666666,0.5,0.25,0.71875,0.1,"[[4, 0], [8, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE188952,expanded_profibrotic_only,ensemble_member,quantile_rank,333,12,0.3333333333333333,0.16666666666666666,0.5,0.25,0.5625,0.1,"[[4, 0], [8, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE188952,published_markers_only,ensemble_member,quantile_rank,333,12,0.3333333333333333,0.16666666666666666,0.5,0.25,0.53125,0.1,"[[4, 0], [8, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE188952,shared_genes,ensemble_member,quantile_rank,333,12,0.3333333333333333,0.16666666666666666,0.5,0.25,0.65625,0.1,"[[4, 0], [8, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE188952,stacked_ensemble,calibrated_soft_vote,quantile_rank,333,12,0.3333333333333333,0.16666666666666666,0.5,0.25,0.71875,0.1,"[[4, 0], [8, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE44270,modules_rank_only,ensemble_member,quantile_rank,279,32,0.5625,0.40499999999999997,0.5,0.36,0.5,0.4,"[[18, 0], [14, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE44270,modules_rank_plus_expanded,ensemble_member,quantile_rank,279,32,0.5625,0.40499999999999997,0.5,0.36,0.5,0.35,"[[18, 0], [14, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE44270,profibrotic_module_only,ensemble_member,quantile_rank,279,32,0.5625,0.40499999999999997,0.5,0.36,0.5,0.55,"[[18, 0], [14, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE44270,expanded_profibrotic_only,ensemble_member,quantile_rank,279,32,0.5625,0.40499999999999997,0.5,0.36,0.5,0.5750000000000001,"[[18, 0], [14, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE44270,published_markers_only,ensemble_member,quantile_rank,279,32,0.5625,0.40499999999999997,0.5,0.36,0.5,0.5750000000000001,"[[18, 0], [14, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE44270,shared_genes,ensemble_member,quantile_rank,279,32,0.5625,0.40499999999999997,0.5,0.36,0.5,0.6,"[[18, 0], [14, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE44270,stacked_ensemble,calibrated_soft_vote,quantile_rank,279,32,0.5625,0.40499999999999997,0.5,0.36,0.5,0.1,"[[18, 0], [14, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE7890,modules_rank_only,ensemble_member,quantile_rank,315,19,0.5263157894736842,0.3629764065335753,0.5,0.3448275862068966,0.34444444444444444,0.4,"[[10, 0], [9, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE7890,modules_rank_plus_expanded,ensemble_member,quantile_rank,315,19,0.5263157894736842,0.3629764065335753,0.5,0.3448275862068966,0.4444444444444444,0.325,"[[10, 0], [9, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE7890,profibrotic_module_only,ensemble_member,quantile_rank,315,19,0.47368421052631576,0.33834586466165417,0.45,0.32142857142857145,0.29999999999999993,0.375,"[[9, 1], [9, 0]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE7890,expanded_profibrotic_only,ensemble_member,quantile_rank,315,19,0.5789473684210527,0.5222672064777328,0.5611111111111111,0.5128205128205128,0.5611111111111111,0.42500000000000004,"[[9, 1], [7, 2]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE7890,published_markers_only,ensemble_member,quantile_rank,315,19,0.3684210526315789,0.3308270676691729,0.3555555555555555,0.3214285714285714,0.4888888888888889,0.42500000000000004,"[[6, 4], [8, 1]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE7890,shared_genes,ensemble_member,quantile_rank,315,19,0.47368421052631576,0.464712918660287,0.4666666666666667,0.4602272727272727,0.43333333333333335,0.6,"[[6, 4], [6, 3]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_GSE7890,stacked_ensemble,calibrated_soft_vote,quantile_rank,315,19,0.3684210526315789,0.3308270676691729,0.3555555555555555,0.3214285714285714,0.4111111111111111,0.525,"[[6, 4], [8, 1]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_Sun_Burns,modules_rank_only,ensemble_member,quantile_rank,220,25,0.32,0.15515151515151515,0.5,0.24242424242424243,0.5,0.625,"[[0, 17], [0, 8]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_Sun_Burns,modules_rank_plus_expanded,ensemble_member,quantile_rank,220,25,0.32,0.15515151515151515,0.5,0.24242424242424243,0.5,0.725,"[[0, 17], [0, 8]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_Sun_Burns,profibrotic_module_only,ensemble_member,quantile_rank,220,25,0.32,0.15515151515151515,0.5,0.24242424242424243,0.5,0.6,"[[0, 17], [0, 8]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_Sun_Burns,expanded_profibrotic_only,ensemble_member,quantile_rank,220,25,0.32,0.15515151515151515,0.5,0.24242424242424243,0.5,0.625,"[[0, 17], [0, 8]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_Sun_Burns,published_markers_only,ensemble_member,quantile_rank,220,25,0.32,0.15515151515151515,0.5,0.24242424242424243,0.5,0.775,"[[0, 17], [0, 8]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_Sun_Burns,shared_genes,ensemble_member,quantile_rank,220,25,0.32,0.15515151515151515,0.5,0.24242424242424243,0.5294117647058824,0.85,"[[0, 17], [0, 8]]","['keloid', 'non_keloid']"
keloid_binary,leave_accession_out_Sun_Burns,stacked_ensemble,calibrated_soft_vote,quantile_rank,220,25,0.32,0.15515151515151515,0.5,0.24242424242424243,0.5,0.6,"[[0, 17], [0, 8]]","['keloid', 'non_keloid']"
