endpoint,stage,split_name,accession,selection,inner_score,inner_lower_tail,threshold,selective_confidence_threshold,normalization_mode,calibration,feature_set,model,weight_mode,adaptation,n_train,n_test,n_test_donors,accuracy,weighted_f1,balanced_accuracy,macro_f1,auroc,confusion_matrix,labels,donor_weighted_f1,donor_macro_f1,donor_auroc
keloid_vs_pathologic_scar,nested_selected,leave_accession_out_GSE210434,GSE210434,inner_equal_accession_donor,1.0,1.0,0.8937710280171098,0.8999999999999999,none,none,fused_multiview,ridge_logreg,accession_donor,none,82,6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22222222222222224,"[[1, 2], [2, 1]]","['keloid', 'non_keloid']",0.3333333333333333,0.3333333333333333,0.22222222222222224
keloid_vs_pathologic_scar,nested_selected,leave_accession_out_GSE245660,GSE245660,inner_equal_accession_donor,0.8285714285714286,0.5885714285714286,0.9842114357450334,0.7749999999999999,none,none,fused_multiview,ridge_logreg,accession_donor,none,150,5,5,0.4,0.22857142857142856,0.5,0.2857142857142857,0.6666666666666666,"[[0, 3], [0, 2]]","['keloid', 'non_keloid']",0.22857142857142856,0.2857142857142857,0.6666666666666666
fibroblast_keloid_binary,nested_selected,leave_accession_out_E-MTAB-2509,E-MTAB-2509,inner_equal_accession_donor,0.7446085164835166,0.4666666666666667,0.5109164181719239,0.525,none,platt_inner_oof,fibrosis_only,elastic_net_logreg,accession_donor,none,102,9,1,0.7777777777777778,0.7833333333333334,0.8333333333333333,0.775,0.7777777777777779,"[[3, 0], [2, 4]]","['keloid', 'non_keloid']",1.0,1.0,
fibroblast_keloid_binary,nested_selected,leave_accession_out_E-MTAB-4945,E-MTAB-4945,inner_equal_accession_donor,0.7837454212454212,0.4666666666666667,0.49378835084467976,0.575,none,platt_inner_oof,fibrosis_only,ridge_logreg,accession_donor,none,124,6,6,0.8333333333333334,0.8285714285714286,0.8333333333333333,0.8285714285714285,0.7777777777777779,"[[3, 0], [1, 2]]","['keloid', 'non_keloid']",0.8285714285714286,0.8285714285714285,0.7777777777777779
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE145725,GSE145725,inner_equal_accession_donor,0.7924107142857142,0.5375,0.4842749168828799,0.525,none,platt_inner_oof,fibrosis_only,ridge_logreg,accession_donor,none,132,19,10,0.5789473684210527,0.5222672064777328,0.5611111111111111,0.5128205128205128,0.38888888888888884,"[[2, 7], [1, 9]]","['keloid', 'non_keloid']",0.5238095238095238,0.5238095238095238,0.31999999999999995
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE163973,GSE163973,inner_equal_accession_donor,0.7302489177489178,0.40909090909090906,0.4412789097051527,0.525,none,platt_inner_oof,fibrosis_only,ridge_logreg,accession_donor,none,53,98,6,0.5612244897959183,0.47019064956181655,0.5784313725490196,0.47865891376964,0.8627450980392157,"[[47, 0], [43, 8]]","['keloid', 'non_keloid']",0.3333333333333333,0.3333333333333333,1.0
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE178562,GSE178562,inner_equal_accession_donor,0.6731934731934732,0.3333333333333333,0.5,0.55,none,platt_inner_oof,fibrosis_only,ridge_logreg,accession_donor,none,79,8,4,0.75,0.6428571428571428,0.5,0.42857142857142855,1.0,"[[0, 2], [0, 6]]","['keloid', 'non_keloid']",0.6428571428571428,0.42857142857142855,1.0
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE210434,GSE210434,inner_equal_accession_donor,0.7270257520257521,0.3787878787878788,0.4958917981230323,0.55,none,platt_inner_oof,fibrosis_only,ridge_logreg,accession_donor,none,132,9,9,0.5555555555555556,0.5555555555555556,0.5,0.5,0.5555555555555556,"[[1, 2], [2, 4]]","['keloid', 'non_keloid']",0.5555555555555556,0.5,0.5555555555555556
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE282479,GSE282479,inner_equal_accession_donor,0.642311507936508,0.32333333333333336,0.4647860216827512,0.5,none,platt_inner_oof,rank_programs_only,linear_svm,accession_donor,none,122,7,7,1.0,1.0,1.0,1.0,1.0,"[[3, 0], [0, 4]]","['keloid', 'non_keloid']",1.0,1.0,1.0
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE44270,GSE44270,inner_equal_accession_donor,0.7212454212454213,0.4666666666666667,0.4663595350987922,0.5,none,platt_inner_oof,fibrosis_only,linear_svm,accession_donor,none,117,16,1,0.625,0.53125,0.5714285714285714,0.5,0.4761904761904762,"[[9, 0], [6, 1]]","['keloid', 'non_keloid']",1.0,1.0,
fibroblast_keloid_binary,nested_selected,leave_accession_out_GSE7890,GSE7890,inner_equal_accession_donor,0.8140873015873016,0.5460317460317461,0.46057374286078906,0.525,none,platt_inner_oof,fibrosis_only,elastic_net_logreg,accession_donor,none,94,10,10,0.5,0.3333333333333333,0.5,0.3333333333333333,0.44,"[[0, 5], [0, 5]]","['keloid', 'non_keloid']",0.3333333333333333,0.3333333333333333,0.44
